"cell_label","cell_id","level_1_cell_id","level_1_cell_label"
"CD4-positive, alpha-beta memory T cell","http://purl.obolibrary.org/obo/CL_0000897","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"T-helper 17 cell","http://purl.obolibrary.org/obo/CL_0000899","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"naive thymus-derived CD8-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0000900","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"CD8-positive, alpha-beta memory T cell","http://purl.obolibrary.org/obo/CL_0000909","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"cytotoxic T cell","http://purl.obolibrary.org/obo/CL_0000910","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"helper T cell","http://purl.obolibrary.org/obo/CL_0000912","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"effector memory CD8-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0000913","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"type I NK T cell","http://purl.obolibrary.org/obo/CL_0000921","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"CD16-negative, CD56-bright natural killer cell, human","http://purl.obolibrary.org/obo/CL_0000938","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"CD16-positive, CD56-dim natural killer cell, human","http://purl.obolibrary.org/obo/CL_0000939","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"conventional dendritic cell","http://purl.obolibrary.org/obo/CL_0000990","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"activated CD4-positive, alpha-beta T cell, human","http://purl.obolibrary.org/obo/CL_0001043","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"effector CD4-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0001044","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"effector CD8-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0001050","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"dendritic cell, human","http://purl.obolibrary.org/obo/CL_0001056","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"plasmacytoid dendritic cell, human","http://purl.obolibrary.org/obo/CL_0001058","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"innate lymphoid cell","http://purl.obolibrary.org/obo/CL_0001065","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"group 3 innate lymphoid cell, human","http://purl.obolibrary.org/obo/CL_0001078","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"CD14-positive, CD16-negative classical monocyte","http://purl.obolibrary.org/obo/CL_0002057","http://purl.obolibrary.org/obo/CL_0000576","monocyte"
"pulmonary alveolar type 1 cell","http://purl.obolibrary.org/obo/CL_0002062","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"pulmonary alveolar type 2 cell","http://purl.obolibrary.org/obo/CL_0002063","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"Purkinje myocyte","http://purl.obolibrary.org/obo/CL_0002068","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"enterocyte of epithelium of large intestine","http://purl.obolibrary.org/obo/CL_0002071","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"nodal myocyte","http://purl.obolibrary.org/obo/CL_0002072","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"brush cell of tracheobronchial tree","http://purl.obolibrary.org/obo/CL_0002075","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"regular atrial cardiac myocyte","http://purl.obolibrary.org/obo/CL_0002129","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"regular ventricular cardiac myocyte","http://purl.obolibrary.org/obo/CL_0002131","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"endothelial cell of lymphatic vessel","http://purl.obolibrary.org/obo/CL_0002138","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"capillary endothelial cell","http://purl.obolibrary.org/obo/CL_0002144","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"ciliated columnar cell of tracheobronchial tree","http://purl.obolibrary.org/obo/CL_0002145","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"multiciliated columnar cell of tracheobronchial tree","http://purl.obolibrary.org/obo/CL_0002145","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"corneocyte","http://purl.obolibrary.org/obo/CL_0002153","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"basal cell of epidermis","http://purl.obolibrary.org/obo/CL_0002187","http://purl.obolibrary.org/obo/CL_0000034","stem cell"
"renal beta-intercalated cell","http://purl.obolibrary.org/obo/CL_0002201","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"pulmonary interstitial fibroblast","http://purl.obolibrary.org/obo/CL_0002241","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"luminal epithelial cell of mammary gland","http://purl.obolibrary.org/obo/CL_0002326","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"luminal cell of prostate epithelium","http://purl.obolibrary.org/obo/CL_0002340","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"basal cell of prostate epithelium","http://purl.obolibrary.org/obo/CL_0002341","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"endocardial cell","http://purl.obolibrary.org/obo/CL_0002350","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"respiratory goblet cell","http://purl.obolibrary.org/obo/CL_0002370","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"respiratory tract goblet cell","http://purl.obolibrary.org/obo/CL_0002370","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"intermediate monocyte","http://purl.obolibrary.org/obo/CL_0002393","http://purl.obolibrary.org/obo/CL_0000576","monocyte"
"CD141-positive myeloid dendritic cell","http://purl.obolibrary.org/obo/CL_0002394","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"CD14-low, CD16-positive monocyte","http://purl.obolibrary.org/obo/CL_0002396","http://purl.obolibrary.org/obo/CL_0000576","monocyte"
"CD1c-positive myeloid dendritic cell","http://purl.obolibrary.org/obo/CL_0002399","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"epidermal Langerhans cell","http://purl.obolibrary.org/obo/CL_0002457","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"nasal mucosa goblet cell","http://purl.obolibrary.org/obo/CL_0002480","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"intrahepatic cholangiocyte","http://purl.obolibrary.org/obo/CL_0002538","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"vein endothelial cell","http://purl.obolibrary.org/obo/CL_0002543","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"Schwann cell","http://purl.obolibrary.org/obo/CL_0002573","http://purl.obolibrary.org/obo/CL_0000125","glial cell"
"bronchial smooth muscle cell","http://purl.obolibrary.org/obo/CL_0002598","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"respiratory basal cell","http://purl.obolibrary.org/obo/CL_0002633","http://purl.obolibrary.org/obo/CL_0000034","stem cell"
"ionocyte","http://purl.obolibrary.org/obo/CL_0005006","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"multi-ciliated epithelial cell","http://purl.obolibrary.org/obo/CL_0005012","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"multiciliated epithelial cell","http://purl.obolibrary.org/obo/CL_0005012","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"enteroendocrine cell of small intestine","http://purl.obolibrary.org/obo/CL_0009006","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"paneth cell of colon","http://purl.obolibrary.org/obo/CL_0009009","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"transit amplifying cell of colon","http://purl.obolibrary.org/obo/CL_0009011","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"transit amplifying cell of small intestine","http://purl.obolibrary.org/obo/CL_0009012","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"intestinal crypt stem cell of large intestine","http://purl.obolibrary.org/obo/CL_0009016","http://purl.obolibrary.org/obo/CL_0000034","stem cell"
"intestinal crypt stem cell of small intestine","http://purl.obolibrary.org/obo/CL_0009017","http://purl.obolibrary.org/obo/CL_0000034","stem cell"
"tuft cell of small intestine","http://purl.obolibrary.org/obo/CL_0009080","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"endothelial cell of respiratory system lymphatic vessel","http://purl.obolibrary.org/obo/CL_0009086","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"lung pericyte","http://purl.obolibrary.org/obo/CL_0009089","http://purl.obolibrary.org/obo/CL_0002320","connective tissue cell"
"obsolete epithelial cell of alveolus of lung","http://purl.obolibrary.org/obo/CL_0010003","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"atrioventricular bundle cell","http://purl.obolibrary.org/obo/CL_0010005","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"cardiac glial cell","http://purl.obolibrary.org/obo/CL_0010020","http://purl.obolibrary.org/obo/CL_0000125","glial cell"
"monocyte-derived dendritic cell","http://purl.obolibrary.org/obo/CL_0011031","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"pulmonary ionocyte","http://purl.obolibrary.org/obo/CL_0017000","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"tracheobronchial serous cell","http://purl.obolibrary.org/obo/CL_0019001","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"tracheobronchial goblet cell","http://purl.obolibrary.org/obo/CL_0019003","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"intestinal tuft cell","http://purl.obolibrary.org/obo/CL_0019032","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"lung ciliated cell","http://purl.obolibrary.org/obo/CL_1000271","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"lung multiciliated epithelial cell","http://purl.obolibrary.org/obo/CL_1000271","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"bronchial goblet cell","http://purl.obolibrary.org/obo/CL_1000312","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"large intestine goblet cell","http://purl.obolibrary.org/obo/CL_1000320","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"serous cell of epithelium of bronchus","http://purl.obolibrary.org/obo/CL_1000331","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"enterocyte of epithelium of small intestine","http://purl.obolibrary.org/obo/CL_1000334","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"paneth cell of epithelium of small intestine","http://purl.obolibrary.org/obo/CL_1000343","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"endothelial cell of hepatic sinusoid","http://purl.obolibrary.org/obo/CL_1000398","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"endothelial cell of arteriole","http://purl.obolibrary.org/obo/CL_1000412","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"endothelial cell of artery","http://purl.obolibrary.org/obo/CL_1000413","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"endothelial cell of venule","http://purl.obolibrary.org/obo/CL_1000414","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"parietal epithelial cell","http://purl.obolibrary.org/obo/CL_1000452","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"melanocyte of skin","http://purl.obolibrary.org/obo/CL_1000458","http://purl.obolibrary.org/obo/CL_0000148","melanocyte"
"cardiac pacemaker cell of sinoatrial node","http://purl.obolibrary.org/obo/CL_1000477","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"cholangiocyte","http://purl.obolibrary.org/obo/CL_1000488","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"mesothelial cell of pleura","http://purl.obolibrary.org/obo/CL_1000491","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"small intestine goblet cell","http://purl.obolibrary.org/obo/CL_1000495","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"papillary tips cell","http://purl.obolibrary.org/obo/CL_1000597","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"kidney interstitial fibroblast","http://purl.obolibrary.org/obo/CL_1000692","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"kidney cortex collecting duct principal cell","http://purl.obolibrary.org/obo/CL_1000714","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney cortex collecting duct intercalated cell","http://purl.obolibrary.org/obo/CL_1000715","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney outer medulla collecting duct principal cell","http://purl.obolibrary.org/obo/CL_1000716","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney outer medulla collecting duct intercalated cell","http://purl.obolibrary.org/obo/CL_1000717","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney inner medulla collecting duct principal cell","http://purl.obolibrary.org/obo/CL_1000718","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney connecting tubule epithelial cell","http://purl.obolibrary.org/obo/CL_1000768","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"macula densa epithelial cell","http://purl.obolibrary.org/obo/CL_1000850","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"glomerular capillary endothelial cell","http://purl.obolibrary.org/obo/CL_1001005","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"kidney loop of Henle thin ascending limb epithelial cell","http://purl.obolibrary.org/obo/CL_1001107","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney loop of Henle medullary thick ascending limb epithelial cell","http://purl.obolibrary.org/obo/CL_1001108","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney loop of Henle cortical thick ascending limb epithelial cell","http://purl.obolibrary.org/obo/CL_1001109","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"vasa recta ascending limb cell","http://purl.obolibrary.org/obo/CL_1001131","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"renal interstitial pericyte","http://purl.obolibrary.org/obo/CL_1001318","http://purl.obolibrary.org/obo/CL_0002320","connective tissue cell"
"bladder urothelial cell","http://purl.obolibrary.org/obo/CL_1001428","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"intestinal enteroendocrine cell","http://purl.obolibrary.org/obo/CL_1001516","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"pulmonary artery endothelial cell","http://purl.obolibrary.org/obo/CL_1001568","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"lung macrophage","http://purl.obolibrary.org/obo/CL_1001603","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"lung microvascular endothelial cell","http://purl.obolibrary.org/obo/CL_2000016","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"liver dendritic cell","http://purl.obolibrary.org/obo/CL_2000055","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"fibroblast of breast","http://purl.obolibrary.org/obo/CL_4006000","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"mesothelial fibroblast","http://purl.obolibrary.org/obo/CL_4023054","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"alveolar capillary type 1 endothelial cell","http://purl.obolibrary.org/obo/CL_4028002","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"alveolar capillary type 2 endothelial cell","http://purl.obolibrary.org/obo/CL_4028003","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"alveolar type 1 fibroblast cell","http://purl.obolibrary.org/obo/CL_4028004","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"alveolar adventitial fibroblast","http://purl.obolibrary.org/obo/CL_4028006","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"epithelial cell of proximal tubule segment 1","http://purl.obolibrary.org/obo/CL_4030009","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"epithelial cell of proximal tubule segment 2","http://purl.obolibrary.org/obo/CL_4030010","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"epithelial cell of proximal tubule segment 3","http://purl.obolibrary.org/obo/CL_4030011","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney loop of Henle short descending thin limb epithelial cell","http://purl.obolibrary.org/obo/CL_4030012","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney loop of Henle long descending thin limb outer medulla epithelial cell","http://purl.obolibrary.org/obo/CL_4030013","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney loop of Henle long descending thin limb inner medulla epithelial cell","http://purl.obolibrary.org/obo/CL_4030014","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"epithelial cell of early distal convoluted tubule","http://purl.obolibrary.org/obo/CL_4030016","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"epithelial cell of late distal convoluted tubule","http://purl.obolibrary.org/obo/CL_4030017","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney connecting tubule principal cell","http://purl.obolibrary.org/obo/CL_4030018","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"kidney connecting tubule alpha-intercalated cell","http://purl.obolibrary.org/obo/CL_4030020","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"renal medullary fibroblast","http://purl.obolibrary.org/obo/CL_4030022","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"serous secreting cell of bronchus submucosal gland","http://purl.obolibrary.org/obo/CL_4033005","http://purl.obolibrary.org/obo/CL_0000152","exocrine cell"
"vein endothelial cell of respiratory system","http://purl.obolibrary.org/obo/CL_4033008","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"mucus secreting cell of bronchus submucosal gland","http://purl.obolibrary.org/obo/CL_4033022","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"airway submucosal gland collecting duct epithelial cell","http://purl.obolibrary.org/obo/CL_4033023","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"CCL3-positive alveolar macrophage","http://purl.obolibrary.org/obo/CL_4033041","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"metallothionein-positive alveolar macrophage","http://purl.obolibrary.org/obo/CL_4033042","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"lung interstitial macrophage","http://purl.obolibrary.org/obo/CL_4033043","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"deuterosomal cell","http://purl.obolibrary.org/obo/CL_4033044","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"lung migratory dendritic cell","http://purl.obolibrary.org/obo/CL_4033045","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"respiratory suprabasal cell","http://purl.obolibrary.org/obo/CL_4033048","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"respiratory tract suprabasal cell","http://purl.obolibrary.org/obo/CL_4033048","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
