gene_label,ct_label,as_label,avg_mean_gene_expr,cell_instance_count,dataset_count,as,ct,gene
ACKR1,endothelial cell,pancreas,3.219551722,148,1,http://purl.obolibrary.org/obo/UBERON_0001264,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell of venule,lung,3.144143045,33710,154,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell of respiratory system,lung,3.066534232,34870,162,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4033008,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell,blood vasculature,3.000722926,1695,1,http://purl.obolibrary.org/obo/UBERON_0004537,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell,skin of body,2.909550309,505,2,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,heart right ventricle,2.633109501,1642,7,http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/CL_0002543,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell,heart left ventricle,2.573874398,2967,11,http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/CL_0002543,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell,Posteromedial head of posterior papillary muscle of left ventricle,2.567878306,373,2,http://purl.org/sig/ont/fma/fma7267,http://purl.obolibrary.org/obo/CL_0002543,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell,heart,2.567439852,9827,31,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002543,http://identifiers.org/hgnc/4035
ACKR1,plasma cell,skin of body,2.38317728,2,1,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/CL_0000786,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell,interventricular septum,2.377950251,681,4,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0002543,http://identifiers.org/hgnc/4035
ACKR1,blood vessel endothelial cell,skin of body,2.193419218,887,3,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,Posteromedial head of posterior papillary muscle of left ventricle,2.189133644,248,1,http://purl.org/sig/ont/fma/fma7267,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,left cardiac atrium,1.924547215,738,6,http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,heart right ventricle,1.857410232,1188,6,http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,Left posterior bronchopulmonary segment,1.808196902,13,1,http://purl.org/sig/ont/fma/fma7386,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,plasma cell,skin of body,1.793972764,36,1,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/CL_0000786,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell of venule,interventricular septum,1.739990711,457,3,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,heart left ventricle,1.735610776,2046,9,http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,erythroid lineage cell,eye,1.568283632,3,1,http://purl.obolibrary.org/obo/UBERON_0000970,http://purl.obolibrary.org/obo/CL_0000764,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,Mueller cell,eye,1.515149606,6,1,http://purl.obolibrary.org/obo/UBERON_0000970,http://purl.obolibrary.org/obo/CL_0000636,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell,uterus,1.443991391,1354,4,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell of respiratory system,Right superior segmental bronchus,1.438596487,57,1,http://purl.org/sig/ont/fma/fma7416,http://purl.obolibrary.org/obo/CL_4033008,http://identifiers.org/hgnc/4035
ACKR1,CD4-positive helper T cell,lung,1.284171581,12,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000492,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,right cardiac atrium,1.222791314,208,2,http://purl.obolibrary.org/obo/UBERON_0002078,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of lymphatic vessel,kidney,0.1666666716,6,2,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of lymphatic vessel,outer cortex of kidney,0.1666666716,6,2,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/4035
ACTA2,fibroblast of lung,lung,21.27821852,1132,23,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002553,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell,heart,6.070505021,41792,158,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell,adipose tissue,5.711292086,47,3,http://purl.obolibrary.org/obo/UBERON_0001013,http://purl.obolibrary.org/obo/CL_0000192,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,fibroblast,lung,5.340374747,2,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000057,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,pericyte,blood vasculature,5.267917796,5272,13,http://purl.obolibrary.org/obo/UBERON_0004537,http://purl.obolibrary.org/obo/CL_0000669,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,"CD8-positive, alpha-beta T cell",lung,5.212453279,2,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000625,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,pericyte,uterus,5.193482962,603,8,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0000669,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,capillary endothelial cell,heart,5.142857075,14,1,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002144,http://identifiers.org/hgnc/130
ACTA2,bronchial smooth muscle cell,lung,5.116098299,19501,285,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002598,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,platelet,blood,5,2,1,http://purl.obolibrary.org/obo/UBERON_0000178,http://purl.obolibrary.org/obo/CL_0000233,http://identifiers.org/hgnc/130
ACTA2,endothelial cell of lymphatic vessel,uterus,4.958272167,2,1,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0002138,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,plasma cell,lung,4.935882931,2,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000786,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,vascular associated smooth muscle cell,left thymus lobe,4.918224723,1520,2,http://purl.obolibrary.org/obo/UBERON_0005457,http://purl.obolibrary.org/obo/CL_0000359,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,vascular associated smooth muscle cell,right thymus lobe,4.918224723,1520,2,http://purl.obolibrary.org/obo/UBERON_0005469,http://purl.obolibrary.org/obo/CL_0000359,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,vascular associated smooth muscle cell,Lateral segmental bronchus,4.893139276,3,1,http://purl.org/sig/ont/fma/fma7402,http://purl.obolibrary.org/obo/CL_0000359,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,vascular associated smooth muscle cell,Cartilage of segmental bronchus,4.893139276,3,1,http://purl.org/sig/ont/fma/fma62662,http://purl.obolibrary.org/obo/CL_0000359,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,pericyte,lung,4.788512727,293,22,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000669,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,fibroblast,liver,4.783802255,196,3,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0000057,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,vascular associated smooth muscle cell,lung,4.734823823,5601,147,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000359,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,myofibroblast cell,lung,4.728857161,15985,80,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell,trachea,4.656824077,1678,9,http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/CL_0000192,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,smooth muscle cell,lung,4.646995052,550,27,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000192,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,fibroblast,small intestine,4.47226948,3249,5,http://purl.obolibrary.org/obo/UBERON_0002108,http://purl.obolibrary.org/obo/CL_0000057,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,smooth muscle cell,blood vasculature,4.454425123,8297,6,http://purl.obolibrary.org/obo/UBERON_0004537,http://purl.obolibrary.org/obo/CL_0000192,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,vascular associated smooth muscle cell,uterus,4.403983245,2491,10,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0000359,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,myofibroblast cell,adipose tissue,4.347993152,302,2,http://purl.obolibrary.org/obo/UBERON_0001013,http://purl.obolibrary.org/obo/CL_0000186,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,respiratory tract goblet cell,lung,4.331040203,3,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002370,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,endothelial cell of artery,lung,4.33048185,8,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1000413,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,fibroblast,liver,4.301650524,62,1,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/130
ACTA2,pericyte,urinary bladder,4.251581108,484,1,http://purl.obolibrary.org/obo/UBERON_0001255,http://purl.obolibrary.org/obo/CL_0000669,https://purl.org/ccf/ASCTB-TEMP_acta2
ACTA2,bronchial smooth muscle cell,Cartilage of segmental bronchus,4.246343082,17,2,http://purl.org/sig/ont/fma/fma62662,http://purl.obolibrary.org/obo/CL_0002598,https://purl.org/ccf/ASCTB-TEMP_acta2
