Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
CALCA,ENSG00000110680,"neural, sensory","ganglion cell, senosory neuron",Rescue,,,,FALSE,NA,TRUE,
NRXN1,ENSG00000179915,neuroglial,neuroglial,Tissue  expert added,,,,FALSE,NA,TRUE,Highly expressed
MKI67,ENSG00000148773,proliferation marker,multiple,State Rescue; MxIF Proteins,,,,TRUE,"Colon - Distal enterocytes,Colon - Undifferentiated cells,General - Proliferation,General - T cells",TRUE,
CIT,ENSG00000122966,proliferation markers,multiple,State Rescue,,,,FALSE,NA,FALSE,
TOP2A,ENSG00000131747,proliferation markers,multiple,State Rescue,,,,TRUE,"Colon - Distal enterocytes,Colon - Undifferentiated cells,General - Proliferation,General - T cells",TRUE,
SOX4,ENSG00000124766,"repair inf, regenerating",multiple,Tissue  expert added,,,,FALSE,NA,TRUE,
CDKN1A,ENSG00000124762,senescence markers,multiple,State Rescue,,,p21,FALSE,NA,TRUE,
CDKN1B,ENSG00000111276,senescence markers,multiple,State Rescue,,,,FALSE,NA,TRUE,
CDKN2A,ENSG00000147889,senescence markers,multiple,State Rescue,,,p16,FALSE,NA,TRUE,
FOXO4,ENSG00000184481,senescence markers,with TP53 induces senescence,State Rescue; MxIF Proteins,,,,FALSE,NA,FALSE,
GDF15,ENSG00000130513,senescence markers,multiple,State Rescue; MxIF Proteins,,,,TRUE,"Breast - Breast glandular cells,Colon - Distal enterocytes,Colon - Intestinal goblet cells,Colon - Undifferentiated cells,Kidney - Collecting duct cells,Lung - Alveolar cells type 2,Lung - Respiratory ciliated cells,Pancreas - Ductal cells,Pancreas - Pancreatic endocrine cells",FALSE,
GLB1,ENSG00000170266,senescence markers,multiple,State Rescue; MxIF Proteins,,,,FALSE,NA,FALSE,
TP53,ENSG00000141510,senescence markers,multiple,MxIF Proteins,,,,FALSE,NA,FALSE,
SIRT1,ENSG00000096717,senescence markers,multiple,State Rescue,,,,FALSE,NA,FALSE,
EMILIN1,ENSG00000138080,stromal,"fibroblasts, ECM, endothelial lymphatic?",Rescue; MxIF Proteins,,,,FALSE,NA,FALSE,
ADAMTS4,ENSG00000158859,stromal,"tendon, cartilage, synovium (esp osteoarthritic)",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
ADAMTS5,ENSG00000154736,stromal,"""interstitial inflammatory cells"" multiple tissues, neural plezus of gut",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
APOD,ENSG00000189058,stromal,Pro-inflammatory Fibroblasts,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
COL14A1,ENSG00000187955,stromal,ECM,MxIF Proteins,,,,FALSE,NA,FALSE,
FAP,ENSG00000078098,stromal,myofibroblast; activated fibroblast,Tissue  expert added,,,,FALSE,NA,TRUE,
ITGA8,ENSG00000077943,stromal,"smooth muscle, fibroblasts, intestinal epithelial crypt cells, adipose, vascular smooth muscle (HRT)","MxIF Proteins, tissue expert added",,,,FALSE,NA,FALSE,
MMP2,ENSG00000087245,stromal,Secretory-reticular Fibroblasts,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
PDGFRA,ENSG00000134853,stromal,"mesenchymal, stem cell",TOP 5 (CZI) List,,,,TRUE,General - Fibroblasts,FALSE,
PDGFRB,ENSG00000113721,stromal,"interstitial cells, fibroblasts, vascular smooth muscle, pericyctes",MxIF Proteins,,,,TRUE,"General - Fibroblasts,General - Smooth muscle cells",TRUE,
POSTN,ENSG00000133110,stromal,activated fibroblast; Endocardial Endothelial,Tissue  expert added (x2),HRT,,,FALSE,NA,FALSE,
PRG4,ENSG00000116690,stromal,synovial fluid; epicardium,Tissue  expert added (x2) ,IVD; HRT,,,TRUE,"General - Fibroblasts,Liver - Hepatocytes",FALSE,
WT1,ENSG00000184937,stromal,subpleural fibroblast/renal podocytes (epithelial),MxIF Proteins,,,,FALSE,NA,FALSE,
OSMR,ENSG00000145623,"stromal, activated fibroblasts",OSMRhi fibroblast,Tissue  expert added,,,,FALSE,NA,FALSE,
ABCA9,ENSG00000154258,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ADIPOQ,ENSG00000181092,"stromal, adipocyte",adipocyte,Tissue  expert added,HRT,,,TRUE,Breast - adipocytes,FALSE,
CILP,ENSG00000138615,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CYP4B1,ENSG00000142973,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,General - Fibroblasts,Lung - Alveolar cells type 1,Lung - Respiratory ciliated cells",FALSE,
PI16,ENSG00000164530,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PLIN1,ENSG00000166819,"stromal, adipocyte",adipocyte,MxIF Proteins,,,,FALSE,NA,TRUE,
SCARA5,ENSG00000168079,"stromal, adipocyte",adipocyte; fibroblast (fallopian tube),TOP 5 (CZI) List; Tissue expert added,Fallopian Tube,,,FALSE,NA,FALSE,
FGF12,ENSG00000114279,"stromal, cardiac muscle",cardiomyocyte,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
FHL2,ENSG00000115641,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT Add-on,,,TRUE,"Breast - Breast glandular cells,Breast - Breast myoepithelial cells,Colon - Distal enterocytes,Colon - Paneth cells,General - Fibroblasts,General - Smooth muscle cells,Heart - Cardiomyocytes,Pancreas - Ductal cells,Pancreas - Pancreatic endocrine cells,Skin - Basal keratinocytes,Skin - Suprabasal keratinocytes",FALSE,
MYH7,ENSG00000092054,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
MYL7,ENSG00000106631,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
MYLK3,ENSG00000140795,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
NLGN1,ENSG00000169760,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
NPPA,ENSG00000175206,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
PAM,ENSG00000145730,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
PKP2,ENSG00000057294,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PRKAG2,ENSG00000106617,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
RBM20,ENSG00000203867,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TECRL,ENSG00000205678,"stromal, cardiac muscle","atrial cardiac myocyte,ventricular cardiac myocyte",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TENM2,ENSG00000145934,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNNC1,ENSG00000114854,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNNI1,ENSG00000159173,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNNT2,ENSG00000118194,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TRDN,ENSG00000186439,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ACAN,ENSG00000157766,"stromal, chondrocyte","chondrocytes, CNS",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
COL10A1,ENSG00000123500,"stromal, chondrocyte",hypertrophic chondrocytes,Tissue  expert added,IVD,,,FALSE,NA,FALSE,
CLSTN2,ENSG00000158258,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
COL3A1,ENSG00000168542,"stromal, fibroblasts",fibroblast,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
COL5A1,ENSG00000130635,"stromal, fibroblasts","fibroblasts, vascular smooth muscle cells",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
COL5A2,ENSG00000204262,"stromal, fibroblasts",mesenchymal fibroblasts,Tissue  expert added,Skin,,,TRUE,"Colon - Enteroendocrine cells,General - Fibroblasts,General - Smooth muscle cells",FALSE,
COL6A3,ENSG00000163359,"stromal, fibroblasts",Fibroblasts; Mesenchymal Fibroblasts,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
DCN,ENSG00000011465,"stromal, fibroblasts",fibroblast,TOP 5 (CZI) List; MxIF Proteins,,,,FALSE,NA,TRUE,
DIO3OS,ENSG00000258498,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
FOXF1,ENSG00000103241,"stromal, fibroblasts",fibroblasts ,Tissue  expert added,IVD,,,FALSE,NA,FALSE,
GALNT15,ENSG00000131386,"stromal, fibroblasts",fibroblast,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
GFPT2,ENSG00000131459,"stromal, fibroblasts",fibroblast,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
IGFBP6,ENSG00000167779,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
IGSF10,ENSG00000152580,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
LUM,ENSG00000139329,"stromal, fibroblasts","fibroblast,mesenchymal stem cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MFAP5,ENSG00000197614,"stromal, fibroblasts","fibroblasts, myofibroblasts",MxIF Proteins,,,,TRUE,"General - Endothelial cells,General - Fibroblasts",FALSE,
OLFML3,ENSG00000116774,"stromal, fibroblasts","fibroblast,mesenchymal stem cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PWWP3B,ENSG00000157502,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
RORB,ENSG00000198963,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
SHC3,ENSG00000148082,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
STXBP5L,ENSG00000145087,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
COL1A1,ENSG00000108821,"stromal, other",ECM (IVD),MxIF Proteins; Tissue Expert Added,,,,FALSE,NA,TRUE,
ABCC9,ENSG00000069431,"stromal, pericyte",pericyte,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
COX4I2,ENSG00000131055,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
EGFLAM,ENSG00000164318,"stromal, pericyte",pericyte,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
HIGD1B,ENSG00000131097,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,General - Smooth muscle cells",FALSE,
MCAM,ENSG00000076706,"stromal, pericyte",pericytes,Tissue  expert added,,,,FALSE,NA,TRUE,
MYH11,ENSG00000133392,"stromal, pericyte","pericyte,smooth muscle cell",TOP 5 (CZI) List,,,,TRUE,General - Smooth muscle cells,TRUE,
NDUFA4L2,ENSG00000185633,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NOTCH3,ENSG00000074181,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NTRK3,ENSG00000140538,"stromal, pericyte",pericytes; Smooth Muscle,Tissue  expert added (x2),Ovary,,,FALSE,NA,FALSE,
RGS5,ENSG00000143248,"stromal, pericyte",pericyte,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
COL2A1,ENSG00000139219,"stromal, skeletal muscle","skeletal muscle cell, chondrocytes (IVD)",TOP 5 (CZI) List; Tissue expert added,,,,FALSE,NA,FALSE,
JSRP1,ENSG00000167476,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TRABD2B,ENSG00000269113,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
WSCD2,ENSG00000075035,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ZNF385C,ENSG00000187595,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
DES,ENSG00000175084,"stromal, skeletal, cardiac, smooth","skeletal, cardiac and smooth muscle",MxIF Proteins,,,,TRUE,"General - Smooth muscle cells,Heart - Cardiomyocytes",FALSE,
ACTA2,ENSG00000107796,"stromal, smooth muscle",smooth muscle cell,MxIF Proteins,,,,TRUE,"General - Fibroblasts,General - Smooth muscle cells,Liver - Hepatic stellate cells",TRUE,
ACTG2,ENSG00000163017,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,TRUE,"Breast - Breast myoepithelial cells,General - Smooth muscle cells",FALSE,
CNN1,ENSG00000130176,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,TRUE,"Breast - Breast myoepithelial cells,General - Smooth muscle cells,Pancreas - Ductal cells",FALSE,
CNR1,ENSG00000118432,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
DGKG,ENSG00000058866,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
EPHA3,ENSG00000044524,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
FBXL22,ENSG00000197361,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
GRIA2,ENSG00000120251,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
HSD17B6,ENSG00000025423,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
JPH2,ENSG00000149596,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
LMOD1,ENSG00000163431,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PCP4,ENSG00000183036,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,TRUE,"General - Smooth muscle cells,Kidney - Proximal tubular cells",FALSE,
PDE1C,ENSG00000154678,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
PLN,ENSG00000198523,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
RBFOX3,ENSG00000167281,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
SLC24A2,ENSG00000155886,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
FOXC2,ENSG00000176692,"stromal, transition","epithelial-mesenchymal transition, embryonic mesenchymal cells",State Rescue; MxIF Proteins,,,,FALSE,NA,FALSE,
MYH10,ENSG00000133026,"stromal, vascular smooth muscle",vascular smooth muscle,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
