Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
ACKR1,ENSG00000213088,"endothelial, vein",vein endothelial cell,TOP 5 (CZI) List,Lung,,,TRUE,General - (post cap venule) Endothelial cells,TRUE,
DIPK2B,ENSG00000147113,"endothelial, vein",vein endothelial cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PLVAP,ENSG00000130300,"endothelial, vein",vein endothelial cell,TOP 5 (CZI) List; MxIF Proteins,,,,FALSE,NA,TRUE,
ADCYAP1R1,ENSG00000078549,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
AGER,ENSG00000204305,epithelial,type 1 pneumocyte,MxIF Proteins,,,,TRUE,Lung - Alveolar cells type 1,TRUE,
AMY2A,ENSG00000243480,epithelial,acinar cell,Tissue  expert added,pancreas,,,TRUE,Pancreas - Exocrine glandular cells,FALSE,
AR,ENSG00000169083,epithelial,"Sebocytes, apocrine glands",Tissue  expert added,Skin,,,TRUE,"Breast - Breast glandular cells,Liver - Hepatocytes",FALSE,
ARHGAP40,ENSG00000124143,epithelial,absorptive cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
AZGP1,ENSG00000160862,epithelial,serous cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CALML3,ENSG00000178363,epithelial,absorptive cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CEACAM5,ENSG00000105388,epithelial,goblet cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CEACAM6,ENSG00000086548,epithelial,goblet cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CHRM3,ENSG00000133019,epithelial,glandular epithelium,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
CLDN3,ENSG00000165215,epithelial,enterocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
COL17A1,ENSG00000065618,epithelial,myoepithelial cell,TOP 5 (CZI) List,,,,TRUE,"Breast - Breast myoepithelial cells,Colon - Distal enterocytes,Skin - Basal keratinocytes",FALSE,
CXCL6,ENSG00000124875,epithelial,club cell,TOP 5 (CZI) List,,,CXCL4,TRUE,"General - Fibroblasts,Liver - Cholangiocytes,Lung - Club cells,Pancreas - Ductal cells",FALSE,
CYP24A1,ENSG00000019186,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
CYP2F1,ENSG00000197446,epithelial,"club cell,goblet cell",TOP 5 (CZI) List,,,,TRUE,Lung - club cells,TRUE,
DPP6,ENSG00000130226,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
EPCAM,ENSG00000119888,epithelial,most epithelial cells,MxIF Proteins,,,CDH1- this is not correct - CDH1 is ecadherin; EPCAM is CD326 if wanted the CD ID,TRUE,"Breast - Breast glandular cells,Colon - Distal enterocytes,Colon - Intestinal goblet cells,Colon - Paneth cells,Colon - Undifferentiated cells,General - Epithelial cells,Kidney - Collecting duct cells,Kidney - Proximal tubular cells,Liver - Cholangiocytes,Lung - Alveolar cells type 1,Lung - Club cells,Lung - Respiratory ciliated cells,Pancreas - Ductal cells",TRUE,
FABP1,ENSG00000163586,epithelial,enterocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FGG,ENSG00000171557,epithelial,"duct cell,serous cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FOXI1,ENSG00000168269,epithelial,"ionocytes, kidney intercalated cells",MxIF Proteins,,,,TRUE,Kidney - distal tubular cells,FALSE,
GABRP,ENSG00000094755,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
GCNT3,ENSG00000140297,epithelial,serous cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
HNF1B,ENSG00000275410,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
ITPRID1,ENSG00000180347,epithelial,tuft cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
KCNC3,ENSG00000131398,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
KLK11,ENSG00000167757,epithelial,mucous cell,TOP 5 (CZI) List,,,,TRUE,"Lung - Alveolar cells type 1,Lung - Club cells,Pancreas - Exocrine glandular cells,Skin - Suprabasal keratinocytes",FALSE,
KRT14,ENSG00000186847,epithelial,"basal cells, works with KRT5; metaplastic cells in cases of fibrosis; basal keratinocytes, outer root sheath (skin)",MxIF Proteins; Tissue expert added,,,,FALSE,NA,FALSE,
KRT17,ENSG00000128422,epithelial,"basal, hair follicles, sebaceous glands, may be low as baseline and induced with stress",MxIF Proteins,,,,FALSE,NA,FALSE,
KRT71,ENSG00000139648,epithelial,Inner root sheath,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
KRT8,ENSG00000170421,epithelial,"multiple tissues, type 2 pneumocytes",MxIF Proteins,,,,FALSE,NA,FALSE,
LGALS4,ENSG00000171747,epithelial,enterocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
LOR,ENSG00000203782,epithelial,epithelial,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
MAL2,ENSG00000147676,epithelial,mucous cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MISP,ENSG00000099812,epithelial,enterocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MMP3,ENSG00000149968,epithelial,"epithelial, periosteum, osteocytes/blasts, lung in IPF, chondrocytes, disc degeneration, inducible",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
MUC5AC,ENSG00000215182,epithelial,"goblet cells lung, endocervix",MxIF Proteins,,,,FALSE,NA,FALSE,
MUC5B,ENSG00000117983,epithelial,"mucin secreting cells, airway epithelium, SM glands, etc",MxIF Proteins,,,,FALSE,NA,TRUE,
NR5A2,ENSG00000116833,epithelial,granulosa cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
