gene_label,gene
IQGAP2,http://identifiers.org/hgnc/6111
IRAG1,http://identifiers.org/hgnc/7237
ITGA1,http://identifiers.org/hgnc/6134
ITGB3,http://identifiers.org/hgnc/6156
ITPR2,http://identifiers.org/hgnc/6181
IVNS1ABP,http://identifiers.org/hgnc/16951
KAZN,http://identifiers.org/hgnc/29173
KCNJ15,http://identifiers.org/hgnc/6261
KCNJ16,http://identifiers.org/hgnc/6262
KCNMB2,http://identifiers.org/hgnc/6286
KCNT2,http://identifiers.org/hgnc/18866
KIT,http://identifiers.org/hgnc/6342
KLHL3,http://identifiers.org/hgnc/6354
KNG1,http://identifiers.org/hgnc/6383
KSR2,http://identifiers.org/hgnc/18610
LDB2,http://identifiers.org/hgnc/6533
LDLRAD4,http://identifiers.org/hgnc/1224
LHX1,http://identifiers.org/hgnc/6593
LINC00472,http://identifiers.org/hgnc/21380
LINC01099,http://identifiers.org/hgnc/49222
LINC01435,http://identifiers.org/hgnc/50753
LITAF,http://identifiers.org/hgnc/16841
LRMDA,http://identifiers.org/hgnc/23405
LRP2,http://identifiers.org/hgnc/6694
LST1,http://identifiers.org/hgnc/14189
LYN,http://identifiers.org/hgnc/6735
MAGI1,http://identifiers.org/hgnc/946
MAGI2,http://identifiers.org/hgnc/18957
MAGI2-AS3,http://identifiers.org/hgnc/40862
MBNL1,http://identifiers.org/hgnc/6923
MECOM,http://identifiers.org/hgnc/3498
MED13L,http://identifiers.org/hgnc/22962
MEF2C,http://identifiers.org/hgnc/6996
MEIS1,http://identifiers.org/hgnc/7000
MEIS2,http://identifiers.org/hgnc/7001
MGP,http://identifiers.org/hgnc/7060
MME,http://identifiers.org/hgnc/7154
MMP7,http://identifiers.org/hgnc/7174
MNDA,http://identifiers.org/hgnc/7183
MYL9,http://identifiers.org/hgnc/15754
MYLK,http://identifiers.org/hgnc/7590
MYO1F,http://identifiers.org/hgnc/7600
NAALADL2,http://identifiers.org/hgnc/23219
NAMPT,http://identifiers.org/hgnc/30092
NEDD4L,http://identifiers.org/hgnc/7728
NFASC,http://identifiers.org/hgnc/29866
NIBAN1,http://identifiers.org/hgnc/16784
NPHS1,http://identifiers.org/hgnc/7908
NPHS2,http://identifiers.org/hgnc/13394
NTNG1,http://identifiers.org/hgnc/23319
OSBPL10,http://identifiers.org/hgnc/16395
P2RX1,http://identifiers.org/hgnc/8533
PACRG,http://identifiers.org/hgnc/19152
PAPPA,http://identifiers.org/hgnc/8602
PARP8,http://identifiers.org/hgnc/26124
PBX1,http://identifiers.org/hgnc/8632
PDE1A,http://identifiers.org/hgnc/8774
PDE4D,http://identifiers.org/hgnc/8783
PIK3C2G,http://identifiers.org/hgnc/8973
PIP4K2A,http://identifiers.org/hgnc/8997
PKHD1,http://identifiers.org/hgnc/9016
PKP4,http://identifiers.org/hgnc/9026
PLA2R1,http://identifiers.org/hgnc/9042
PLCB1,http://identifiers.org/hgnc/15917
PLCE1,http://identifiers.org/hgnc/17175
PLCG2,http://identifiers.org/hgnc/9066
PLPP1,http://identifiers.org/hgnc/9228
PLXDC2,http://identifiers.org/hgnc/21013
PODXL,http://identifiers.org/hgnc/9171
POU2F2,http://identifiers.org/hgnc/9213
PRKCB,http://identifiers.org/hgnc/9395
PRKCH,http://identifiers.org/hgnc/9403
PTBP3,http://identifiers.org/hgnc/10253
PTH1R,http://identifiers.org/hgnc/9608
PTH2R,http://identifiers.org/hgnc/9609
PTPRB,http://identifiers.org/hgnc/9665
PTPRD,http://identifiers.org/hgnc/9668
PTPRG,http://identifiers.org/hgnc/9671
PTPRM,http://identifiers.org/hgnc/9675
PTPRO,http://identifiers.org/hgnc/9678
PTPRQ,http://identifiers.org/hgnc/9679
RAB11FIP3,http://identifiers.org/hgnc/17224
RALBP1,http://identifiers.org/hgnc/9841
RALGPS2,http://identifiers.org/hgnc/30279
RASAL2,http://identifiers.org/hgnc/9874
RBFOX1,http://identifiers.org/hgnc/18222
RBM47,http://identifiers.org/hgnc/30358
RBMS3,http://identifiers.org/hgnc/13427
RCAN2,http://identifiers.org/hgnc/3041
RIPOR2,http://identifiers.org/hgnc/13872
RNPC3,http://identifiers.org/hgnc/18666
RPL10,http://identifiers.org/hgnc/10298
RPL11,http://identifiers.org/hgnc/10301
RPL13,http://identifiers.org/hgnc/10303
RPL28,http://identifiers.org/hgnc/10330
RPL3,http://identifiers.org/hgnc/10332
RPL30,http://identifiers.org/hgnc/10333
RPL7A,http://identifiers.org/hgnc/10364
RPLP1,http://identifiers.org/hgnc/10372
RPS14,http://identifiers.org/hgnc/10387
RPS18,http://identifiers.org/hgnc/10401
RPS2,http://identifiers.org/hgnc/10404
RPS24,http://identifiers.org/hgnc/10411
RPS27A,http://identifiers.org/hgnc/10417
RPS4X,http://identifiers.org/hgnc/10424
S100A11,http://identifiers.org/hgnc/10488
S100A6,http://identifiers.org/hgnc/10496
S100A9,http://identifiers.org/hgnc/10499
SAMHD1,http://identifiers.org/hgnc/15925
SAMSN1,http://identifiers.org/hgnc/10528
SCN2A,http://identifiers.org/hgnc/10588
SCNN1G,http://identifiers.org/hgnc/10602
SEL1L3,http://identifiers.org/hgnc/29108
SIGLEC6,http://identifiers.org/hgnc/10875
SKAP1,http://identifiers.org/hgnc/15605
SLC12A1,http://identifiers.org/hgnc/10910
SLC12A3,http://identifiers.org/hgnc/10912
SLC13A3,http://identifiers.org/hgnc/14430
SLC14A2,http://identifiers.org/hgnc/10919
SLC16A9,http://identifiers.org/hgnc/23520
SLC17A1,http://identifiers.org/hgnc/10929
SLC18A2,http://identifiers.org/hgnc/10935
SLC24A3,http://identifiers.org/hgnc/10977
SLC26A7,http://identifiers.org/hgnc/14467
SLC2A9,http://identifiers.org/hgnc/13446
SLC38A1,http://identifiers.org/hgnc/13447
SLC4A9,http://identifiers.org/hgnc/11035
SLC8A1,http://identifiers.org/hgnc/11068
SLC8A3,http://identifiers.org/hgnc/11070
SLC9A9,http://identifiers.org/hgnc/20653
SLCO2B1,http://identifiers.org/hgnc/10962
SLIT3,http://identifiers.org/hgnc/11087
SMCHD1,http://identifiers.org/hgnc/29090
SNTB1,http://identifiers.org/hgnc/11168
SORL1,http://identifiers.org/hgnc/11185
SPARCL1,http://identifiers.org/hgnc/11220
SPATS2,http://identifiers.org/hgnc/18650
SPINK1,http://identifiers.org/hgnc/11244
SPOCK1,http://identifiers.org/hgnc/11251
SPTBN2,http://identifiers.org/hgnc/11276
SRGN,http://identifiers.org/hgnc/9361
ST6GAL1,http://identifiers.org/hgnc/10860
ST6GALNAC3,http://identifiers.org/hgnc/19343
STAB1,http://identifiers.org/hgnc/18628
SVEP1,http://identifiers.org/hgnc/15985
SYNE1,http://identifiers.org/hgnc/17089
SYNPO2,http://identifiers.org/hgnc/17732
TAGLN,http://identifiers.org/hgnc/11553
TBXAS1,http://identifiers.org/hgnc/11609
TENM3,http://identifiers.org/hgnc/29944
TENT5C,http://identifiers.org/hgnc/24712
TEX41,http://identifiers.org/hgnc/48667
TFCP2L1,http://identifiers.org/hgnc/17925
TGFBR3,http://identifiers.org/hgnc/11774
TMEM117,http://identifiers.org/hgnc/25308
TMEM213,http://identifiers.org/hgnc/27220
TMEM52B,http://identifiers.org/hgnc/26438
TNFRSF1B,http://identifiers.org/hgnc/11917
TOX3,http://identifiers.org/hgnc/11972
TPM1,http://identifiers.org/hgnc/12010
TPM2,http://identifiers.org/hgnc/12011
TRPM3,http://identifiers.org/hgnc/17992
TRPM6,http://identifiers.org/hgnc/17995
TRPM7,http://identifiers.org/hgnc/17994
TSHZ2,http://identifiers.org/hgnc/13010
TXNDC5,http://identifiers.org/hgnc/21073
UTRN,http://identifiers.org/hgnc/12635
WNK1,http://identifiers.org/hgnc/14540
WNK4,http://identifiers.org/hgnc/14544
WSB1,http://identifiers.org/hgnc/19221
WWOX,http://identifiers.org/hgnc/12799
ZEB1,http://identifiers.org/hgnc/11642
ZEB2,http://identifiers.org/hgnc/14881
ZFPM2,http://identifiers.org/hgnc/16700
