organ,source,target,sum_extraction_sites_number
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_interventricular_septum,4
3d-vh-f-kidney-l,VH_F_hilum_of_kidney_L,VH_F_renal_column_L,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_papilla_L_j,4
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_papillary_muscle_of_heart_medial,4
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lateral_bronchopulmonary_segment,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_i,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_j,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_papilla_L_f,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_j,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_c,4
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_papillary_muscle_of_heart_posterior,4
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_papillary_muscle_of_heart_anterior,4
3d-vh-m-heart,VH_M_aortic_valve,VH_M_heart_right_ventricle,4
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_pulmonary_valve,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_d,4
3d-vh-f-kidney-r,VH_F_hilum_of_kidney_R,VH_F_outer_cortex_of_kidney_R,4
3d-vh-m-urinary-bladder,VH_M_fundus_of_urinary_bladder_base1,VH_M_fundus_of_urinary_bladder_dome,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_d,4
3d-vh-f-kidney-r,VH_F_kidney_capsule_R,VH_F_outer_cortex_of_kidney_R,4
3d-vh-f-urinary-bladder,VH_F_fundus_of_urinary_bladder_base,VH_F_fundus_of_urinary_bladder_dome,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_g,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_b,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_c,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_h,4
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_e,4
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lingular_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_medial_basal_bronchus,3
3d-vh-m-lung,VH_M_right_anterior_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lingula_inferior_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_upper_R,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_superior_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_posterior_bronchopulmonary_segment,3
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_papilla_L_h,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_anterior_basal_bronchopulmonary_segment,3
3d-vh-m-kidney-l,VH_M_renal_papilla_L_a,VH_M_renal_pyramid_L_a,3
3d-vh-m-kidney-r,VH_M_renal_column_R,VH_M_renal_pyramid_a,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lateral_basal_bronchus,3
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_i,3
3d-vh-m-lung,VH_M_right_anterior_basal_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,3
3d-vh-m-lung,VH_M_right_lateral_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,3
3d-vh-m-lung,VH_M_bronchus,VH_M_cartilage_of_the_tertiary_bronchus_R,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_posterior_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_anterior_basal_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_hilum_lower_L,3
3d-vh-f-heart,VH_F_right_cardiac_atrium,VH_F_right_ventricle,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_medial_basal_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_hilum_upper_L,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_anterior_basal_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_inferior_lobar_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_middle_lobar_bronchus,3
3d-sbu-f-large-intestine,VH_F_descending_colon,VH_F_splenic_flexure_of_colon,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lower_lobar_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lateral_basal_bronchus,3
3d-sbu-f-large-intestine,VH_F_rectum,VH_F_sigmoid_colon,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_superior_lobar_bronchus,3
3d-vh-f-small-intestine,VH_F_duodenum_descending,VH_F_duodenum_superior,3
