gene_label,hgnc,source
AKR1C1,http://identifiers.org/hgnc/384,hra
ALDH,https://purl.org/ccf/ASCTB-TEMP_aldh,hra
ALDH1A2,http://identifiers.org/hgnc/15472,hra
ALDH1A3,http://identifiers.org/hgnc/409,hra
ALDH2,http://identifiers.org/hgnc/404,hra
ALDOB,http://identifiers.org/hgnc/417,hra
ALG13,http://identifiers.org/hgnc/30881,hra
ALK,http://identifiers.org/hgnc/427,hra
ALKAL2,http://identifiers.org/hgnc/27683,hra
ANGPT1,http://identifiers.org/hgnc/484,hra
ANGPTL4,http://identifiers.org/hgnc/16039,hra
ANKFN1,http://identifiers.org/hgnc/26766,hra
ANKRD20A11P,http://identifiers.org/hgnc/42024,hra
ANKRD30B,http://identifiers.org/hgnc/24165,hra
ANLN,http://identifiers.org/hgnc/14082,hra
ANO2,http://identifiers.org/hgnc/1183,hra
ANOS1,http://identifiers.org/hgnc/6211,hra
ANPEP,http://identifiers.org/hgnc/500,hra
ANXA1,http://identifiers.org/hgnc/533,hra
ANXA2,http://identifiers.org/hgnc/537,hra
ANXA4,http://identifiers.org/hgnc/542,hra
AP000331.1,https://purl.org/ccf/ASCTB-TEMP_ap000331-1,hra
AP3M2,http://identifiers.org/hgnc/570,hra
APBB1IP,http://identifiers.org/hgnc/17379,hra
APLN,http://identifiers.org/hgnc/16665,hra
APLNR,http://identifiers.org/hgnc/339,hra
APLP2,http://identifiers.org/hgnc/598,hra
APOC1,http://identifiers.org/hgnc/607,hra
APOE,http://identifiers.org/hgnc/613,hra
AQP0 residues 1-263 +fatty acyl,https://purl.org/ccf/ASCTB-TEMP_aqp0-residues-1-263-fatty-acyl,hra
AQP1,http://identifiers.org/hgnc/633,hra
AQP2,http://identifiers.org/hgnc/634,hra
AQP3,http://identifiers.org/hgnc/636,hra
AQP4,http://identifiers.org/hgnc/637,hra
AQP6,http://identifiers.org/hgnc/639,hra
ARHGAP42,http://identifiers.org/hgnc/26545,hra
ARHGAP6,http://identifiers.org/hgnc/676,hra
ARID5B,http://identifiers.org/hgnc/17362,hra
ARMH1,http://identifiers.org/hgnc/34345,hra
ARR3,http://identifiers.org/hgnc/710,hra
ASAH2,http://identifiers.org/hgnc/18860,hra
ASCC1,http://identifiers.org/hgnc/24268,hra
ASCL1,http://identifiers.org/hgnc/738,hra
ASCL2,http://identifiers.org/hgnc/739,hra
ASCL2,https://purl.org/ccf/ASCTB-TEMP_ascl2,hra
ASCL3,http://identifiers.org/hgnc/740,hra
ASPN,http://identifiers.org/hgnc/14872,hra
ATF4P4,http://identifiers.org/hgnc/787,hra
ATP10A,http://identifiers.org/hgnc/13542,hra
ATP1A1,http://identifiers.org/hgnc/799,hra
ATP1A2,http://identifiers.org/hgnc/800,hra
ATP6V0A4,http://identifiers.org/hgnc/866,hra
ATP6V0D2,http://identifiers.org/hgnc/18266,hra
AVIL,http://identifiers.org/hgnc/14188,hra
AVP,http://identifiers.org/hgnc/894,hra
AVPR1A,http://identifiers.org/hgnc/895,hra
AXL,http://identifiers.org/hgnc/905,hra
AZU1,http://identifiers.org/hgnc/913,hra
B3GAT1,http://identifiers.org/hgnc/921,hra
BATF,http://identifiers.org/hgnc/958,hra
BATF3,http://identifiers.org/hgnc/28915,hra
BCAM,http://identifiers.org/hgnc/6722,hra
BCAS1,http://identifiers.org/hgnc/974,hra
BCHE,http://identifiers.org/hgnc/983,hra
BCL11A,http://identifiers.org/hgnc/13221,hra
BCL11B,http://identifiers.org/hgnc/13222,hra
BCL2,http://identifiers.org/hgnc/990,hra
BCL6,http://identifiers.org/hgnc/1001,hra
BCL7A,http://identifiers.org/hgnc/1004,hra
BDNF,http://identifiers.org/hgnc/1033,hra
BEST3,http://identifiers.org/hgnc/17105,hra
BEST4,http://identifiers.org/hgnc/17106,hra
BEST4,https://purl.org/ccf/ASCTB-TEMP_best4,hra
BEX1,http://identifiers.org/hgnc/1036,hra
BFSP2,http://identifiers.org/hgnc/1041,hra
BHLHE22,http://identifiers.org/hgnc/11963,hra
BIRC3,http://identifiers.org/hgnc/591,hra
BLVRB,http://identifiers.org/hgnc/1063,hra
BMP1,http://identifiers.org/hgnc/1067,hra
BMP5,http://identifiers.org/hgnc/1072,hra
BMP6,http://identifiers.org/hgnc/1073,hra
BMPR1B,http://identifiers.org/hgnc/1077,hra
BMX,http://identifiers.org/hgnc/1079,hra
BNC2,http://identifiers.org/hgnc/30988,hra
BPGM,http://identifiers.org/hgnc/1093,hra
BPIFA1,http://identifiers.org/hgnc/15749,hra
BSND,http://identifiers.org/hgnc/16512,hra
BST1,http://identifiers.org/hgnc/1118,hra
BST2,http://identifiers.org/hgnc/1119,hra
BTBD11,https://purl.org/ccf/ASCTB-TEMP_btbd11,hra
BTNL9,http://identifiers.org/hgnc/24176,hra
C10orf90,http://identifiers.org/hgnc/26563,hra
C11orf96,http://identifiers.org/hgnc/38675,hra
C1QA,http://identifiers.org/hgnc/1241,hra
C1QL1,http://identifiers.org/hgnc/24182,hra
C1QL2,http://identifiers.org/hgnc/24181,hra
C1QTNF5,http://identifiers.org/hgnc/14344,hra
C1QTNF7,http://identifiers.org/hgnc/14342,hra
C1orf162,http://identifiers.org/hgnc/28344,hra
C1orf54,http://identifiers.org/hgnc/26258,hra
C3,http://identifiers.org/hgnc/1318,hra
C7,http://identifiers.org/hgnc/1346,hra
C9orf16,https://purl.org/ccf/ASCTB-TEMP_c9orf16,hra
CA2,http://identifiers.org/hgnc/1373,hra
CA2,https://purl.org/ccf/ASCTB-TEMP_ca2,hra
CA4,http://identifiers.org/hgnc/1375,hra
CA7,https://purl.org/ccf/ASCTB-TEMP_ca7,hra
CABP1,http://identifiers.org/hgnc/1384,hra
CABP5,http://identifiers.org/hgnc/13714,hra
CACNA1G,http://identifiers.org/hgnc/1394,hra
CACNG5,http://identifiers.org/hgnc/1409,hra
CADM1,http://identifiers.org/hgnc/5951,hra
CADPS2,http://identifiers.org/hgnc/16018,hra
CALB1,http://identifiers.org/hgnc/1434,hra
CALB2,http://identifiers.org/hgnc/1435,hra
CALCB,http://identifiers.org/hgnc/1438,hra
CALCRL,http://identifiers.org/hgnc/16709,hra
CALD1,http://identifiers.org/hgnc/1441,hra
CALM1,http://identifiers.org/hgnc/1442,hra
CALML5,http://identifiers.org/hgnc/18180,hra
CALR,http://identifiers.org/hgnc/1455,hra
CAMK2B,http://identifiers.org/hgnc/1461,hra
CAMK4,http://identifiers.org/hgnc/1464,hra
CAMP,http://identifiers.org/hgnc/1472,hra
CAPN8,http://identifiers.org/hgnc/1485,hra
CAPS,http://identifiers.org/hgnc/1487,hra
CARD16,http://identifiers.org/hgnc/33701,hra
CARHSP1,http://identifiers.org/hgnc/17150,hra
CARM1P1,http://identifiers.org/hgnc/23392,hra
CARMN,http://identifiers.org/hgnc/42872,hra
CARNS1,http://identifiers.org/hgnc/29268,hra
CARTPT,http://identifiers.org/hgnc/24323,hra
CASC6,http://identifiers.org/hgnc/49076,hra
CASQ2,http://identifiers.org/hgnc/1513,hra
CASR,http://identifiers.org/hgnc/1514,hra
CASZ1,http://identifiers.org/hgnc/26002,hra
CAV1,http://identifiers.org/hgnc/1527,hra
CAVIN2,http://identifiers.org/hgnc/10690,hra
CBLN1,http://identifiers.org/hgnc/1543,hra
CBLN2,http://identifiers.org/hgnc/1544,hra
CBLN4,http://identifiers.org/hgnc/16231,hra
CCBE1,http://identifiers.org/hgnc/29426,hra
CCDC102B,http://identifiers.org/hgnc/26295,hra
CCDC26,http://identifiers.org/hgnc/28416,hra
CCDC50,http://identifiers.org/hgnc/18111,hra
CCK,http://identifiers.org/hgnc/1569,hra
CCL14,http://identifiers.org/hgnc/10612,hra
CCL20,http://identifiers.org/hgnc/10619,hra
CCL25,http://identifiers.org/hgnc/10624,hra
CCL3,http://identifiers.org/hgnc/10627,hra
CCL4,http://identifiers.org/hgnc/10630,hra
CCN1,http://identifiers.org/hgnc/2654,hra
CCN2,http://identifiers.org/hgnc/2500,hra
CCN4,http://identifiers.org/hgnc/12769,hra
CCNG2,http://identifiers.org/hgnc/1593,hra
CCNH,http://identifiers.org/hgnc/1594,hra
CCR1,http://identifiers.org/hgnc/1602,hra
CCR2,http://identifiers.org/hgnc/1603,hra
CCR3,http://identifiers.org/hgnc/1604,hra
CCR4,http://identifiers.org/hgnc/1605,hra
CCR6,http://identifiers.org/hgnc/1607,hra
CCR9,http://identifiers.org/hgnc/1610,hra
CD117,https://purl.org/ccf/ASCTB-TEMP_cd117,hra
CD11b,https://purl.org/ccf/ASCTB-TEMP_cd11b,hra
CD11c,https://purl.org/ccf/ASCTB-TEMP_cd11c,hra
CD123,https://purl.org/ccf/ASCTB-TEMP_cd123,hra
CD127,https://purl.org/ccf/ASCTB-TEMP_cd127,hra
CD138,https://purl.org/ccf/ASCTB-TEMP_cd138,hra
CD15,https://purl.org/ccf/ASCTB-TEMP_cd15,hra
CD16,https://purl.org/ccf/ASCTB-TEMP_cd16,hra
CD160,http://identifiers.org/hgnc/17013,hra
CD161,https://purl.org/ccf/ASCTB-TEMP_cd161,hra
CD1D,http://identifiers.org/hgnc/1637,hra
CD1E,http://identifiers.org/hgnc/1638,hra
CD200,http://identifiers.org/hgnc/7203,hra
CD200R1L,http://identifiers.org/hgnc/24665,hra
CD206,https://purl.org/ccf/ASCTB-TEMP_cd206,hra
CD207,http://identifiers.org/hgnc/17935,hra
CD209,http://identifiers.org/hgnc/1641,hra
CD21,https://purl.org/ccf/ASCTB-TEMP_cd21,hra
CD22,http://identifiers.org/hgnc/1643,hra
CD226,http://identifiers.org/hgnc/16961,hra
CD24,http://identifiers.org/hgnc/1645,hra
CD247,http://identifiers.org/hgnc/1677,hra
CD25,https://purl.org/ccf/ASCTB-TEMP_cd25,hra
CD27,http://identifiers.org/hgnc/11922,hra
CD274,http://identifiers.org/hgnc/17635,hra
CD294,https://purl.org/ccf/ASCTB-TEMP_cd294,hra
CD3,https://purl.org/ccf/ASCTB-TEMP_cd3,hra
CD300LG,http://identifiers.org/hgnc/30455,hra
CD31,https://purl.org/ccf/ASCTB-TEMP_cd31,hra
CD33,http://identifiers.org/hgnc/1659,hra
CD36,http://identifiers.org/hgnc/1663,hra
CD36,https://purl.org/ccf/ASCTB-TEMP_cd36,hra
CD3W,http://identifiers.org/hgnc/1676,hra
CD40,http://identifiers.org/hgnc/11919,hra
CD44,http://identifiers.org/hgnc/1681,hra
CD44,https://purl.org/ccf/ASCTB-TEMP_cd44,hra
CD52,http://identifiers.org/hgnc/1804,hra
CD53,http://identifiers.org/hgnc/1686,hra
CD56,https://purl.org/ccf/ASCTB-TEMP_cd56,hra
CD57,https://purl.org/ccf/ASCTB-TEMP_cd57,hra
CD59,http://identifiers.org/hgnc/1689,hra
CD5L,http://identifiers.org/hgnc/1690,hra
CD69,http://identifiers.org/hgnc/1694,hra
CD69,https://purl.org/ccf/ASCTB-TEMP_cd69,hra
CD7,http://identifiers.org/hgnc/1695,hra
CD7,https://purl.org/ccf/ASCTB-TEMP_cd7,hra
CD74,http://identifiers.org/hgnc/1697,hra
CD79A,http://identifiers.org/hgnc/1698,hra
CD8,https://purl.org/ccf/ASCTB-TEMP_cd8,hra
CD80,http://identifiers.org/hgnc/1700,hra
CD82,http://identifiers.org/hgnc/6210,hra
CD83,http://identifiers.org/hgnc/1703,hra
CD86,http://identifiers.org/hgnc/1705,hra
CD9,http://identifiers.org/hgnc/1709,hra
CD90,https://purl.org/ccf/ASCTB-TEMP_cd90,hra
CDC20B,http://identifiers.org/hgnc/24222,hra
CDCA2,http://identifiers.org/hgnc/14623,hra
CDH1,http://identifiers.org/hgnc/1748,hra
CDH12,http://identifiers.org/hgnc/1751,hra
CDH13,http://identifiers.org/hgnc/1753,hra
CDH18,http://identifiers.org/hgnc/1757,hra
CDH2,http://identifiers.org/hgnc/1759,hra
CDH23,http://identifiers.org/hgnc/13733,hra
CDH24,http://identifiers.org/hgnc/14265,hra
CDH6,http://identifiers.org/hgnc/1765,hra
CDH7,http://identifiers.org/hgnc/1766,hra
CDH9,http://identifiers.org/hgnc/1768,hra
CDHR3,http://identifiers.org/hgnc/26308,hra
CDHR4,http://identifiers.org/hgnc/34527,hra
CDK1,http://identifiers.org/hgnc/1722,hra
CDON,http://identifiers.org/hgnc/17104,hra
CDR2,http://identifiers.org/hgnc/1799,hra
CEBPB,http://identifiers.org/hgnc/1834,hra
CELA3A,http://identifiers.org/hgnc/15944,hra
CEMIP,http://identifiers.org/hgnc/29213,hra
CERCAM,http://identifiers.org/hgnc/23723,hra
CES1,http://identifiers.org/hgnc/1863,hra
CFAP299,http://identifiers.org/hgnc/28554,hra
CFAP47,http://identifiers.org/hgnc/26708,hra
CFAP73,http://identifiers.org/hgnc/37100,hra
CFB,http://identifiers.org/hgnc/1037,hra
CFH,http://identifiers.org/hgnc/4883,hra
CFTR,http://identifiers.org/hgnc/1884,hra
CFTR,https://purl.org/ccf/ASCTB-TEMP_cftr,hra
CGB3,http://identifiers.org/hgnc/1886,hra
CGRP,https://purl.org/ccf/ASCTB-TEMP_cgrp,hra
CH17-174L20.1,https://purl.org/ccf/ASCTB-TEMP_ch17-174l20-1,hra
CH25H,http://identifiers.org/hgnc/1907,hra
CHAD,http://identifiers.org/hgnc/1909,hra
CHAF1B,http://identifiers.org/hgnc/1911,hra
CHAT,http://identifiers.org/hgnc/1912,hra
CHGA,http://identifiers.org/hgnc/1929,hra
CHI3L1,http://identifiers.org/hgnc/1932,hra
CHI3L2,http://identifiers.org/hgnc/1933,hra
CHRM2,http://identifiers.org/hgnc/1951,hra
CHRM5,http://identifiers.org/hgnc/1954,hra
CHRNA1,http://identifiers.org/hgnc/1955,hra
CHRNA7,http://identifiers.org/hgnc/1960,hra
CHST9,http://identifiers.org/hgnc/19898,hra
CIB2,http://identifiers.org/hgnc/24579,hra
CIITA,http://identifiers.org/hgnc/7067,hra
CILP2,http://identifiers.org/hgnc/24213,hra
CKAP4,http://identifiers.org/hgnc/16991,hra
CKLF,http://identifiers.org/hgnc/13253,hra
CLC,http://identifiers.org/hgnc/2014,hra
CLCA4,https://purl.org/ccf/ASCTB-TEMP_clca4,hra
CLCNKA,http://identifiers.org/hgnc/2026,hra
CLCNKB,http://identifiers.org/hgnc/2027,hra
CLDN1,http://identifiers.org/hgnc/2032,hra
CLDN16,http://identifiers.org/hgnc/2037,hra
CLEC11A,http://identifiers.org/hgnc/10576,hra
CLEC12A,http://identifiers.org/hgnc/31713,hra
CLEC14A,http://identifiers.org/hgnc/19832,hra
CLEC4G,http://identifiers.org/hgnc/24591,hra
CLEC4M,http://identifiers.org/hgnc/13523,hra
CLEC7A,http://identifiers.org/hgnc/14558,hra
CLIC3,http://identifiers.org/hgnc/2064,hra
CLIC5,http://identifiers.org/hgnc/13517,hra
CLMP,http://identifiers.org/hgnc/24039,hra
CLSPN,http://identifiers.org/hgnc/19715,hra
CLU,http://identifiers.org/hgnc/2095,hra
CMA1,http://identifiers.org/hgnc/2097,hra
CMC1,http://identifiers.org/hgnc/28783,hra
CMTM8,http://identifiers.org/hgnc/19179,hra
CNDP1,http://identifiers.org/hgnc/20675,hra
CNTN1,http://identifiers.org/hgnc/2171,hra
COBLL1,http://identifiers.org/hgnc/23571,hra
COL15A1,http://identifiers.org/hgnc/2192,hra
COL16A1,http://identifiers.org/hgnc/2193,hra
COL18A1,http://identifiers.org/hgnc/2195,hra
COL19A1,http://identifiers.org/hgnc/2196,hra
COL1A2,http://identifiers.org/hgnc/2198,hra
COL22A1,http://identifiers.org/hgnc/22989,hra
COL24A1,http://identifiers.org/hgnc/20821,hra
COL4A1,http://identifiers.org/hgnc/2202,hra
COL4A2,http://identifiers.org/hgnc/2203,hra
COL5A3,http://identifiers.org/hgnc/14864,hra
COL6A1,http://identifiers.org/hgnc/2211,hra
COL6A1,https://purl.org/ccf/ASCTB-TEMP_col6a1,hra
COL6A2,http://identifiers.org/hgnc/2212,hra
COL6A2,https://purl.org/ccf/ASCTB-TEMP_col6a2,hra
COL9A1,http://identifiers.org/hgnc/2217,hra
COLEC12,http://identifiers.org/hgnc/16016,hra
CORO1A,http://identifiers.org/hgnc/2252,hra
COX7A1,http://identifiers.org/hgnc/2287,hra
CPA6,http://identifiers.org/hgnc/17245,hra
CPE,http://identifiers.org/hgnc/2303,hra
CPLX4,http://identifiers.org/hgnc/24330,hra
CPVL,http://identifiers.org/hgnc/14399,hra
CR1,http://identifiers.org/hgnc/2334,hra
CR2,http://identifiers.org/hgnc/2336,hra
CRABP1,http://identifiers.org/hgnc/2338,hra
CRB2,http://identifiers.org/hgnc/18688,hra
CRCP,http://identifiers.org/hgnc/17888,hra
CRH,http://identifiers.org/hgnc/2355,hra
CRHBP,http://identifiers.org/hgnc/2356,hra
CRHR2,http://identifiers.org/hgnc/2358,hra
CRIP1,http://identifiers.org/hgnc/2360,hra
CRIPTO,http://identifiers.org/hgnc/11701,hra
CRNDE,http://identifiers.org/hgnc/37078,hra
CRTAM,http://identifiers.org/hgnc/24313,hra
CRYAB,http://identifiers.org/hgnc/2389,hra
CRYBA2,https://purl.org/ccf/ASCTB-TEMP_cryba2,hra
CRYBG1,http://identifiers.org/hgnc/356,hra
CRYM,http://identifiers.org/hgnc/2418,hra
CSF1,https://purl.org/ccf/ASCTB-TEMP_csf1,hra
CSF1R,http://identifiers.org/hgnc/2433,hra
CSF1R,https://purl.org/ccf/ASCTB-TEMP_csf1r,hra
CSF3,http://identifiers.org/hgnc/2438,hra
CSF3R,http://identifiers.org/hgnc/2439,hra
CSH1,http://identifiers.org/hgnc/2440,hra
CSN1S1,http://identifiers.org/hgnc/2445,hra
CSPG4,http://identifiers.org/hgnc/2466,hra
CST3,http://identifiers.org/hgnc/2475,hra
CSTA,http://identifiers.org/hgnc/2481,hra
CTB-57H20.1,https://purl.org/ccf/ASCTB-TEMP_ctb-57h20-1,hra
CTC-340A15.2,https://purl.org/ccf/ASCTB-TEMP_ctc-340a15-2,hra
CTC-367F4.1,https://purl.org/ccf/ASCTB-TEMP_ctc-367f4-1,hra
CTC-535M15.2,https://purl.org/ccf/ASCTB-TEMP_ctc-535m15-2,hra
CTC-552D5.1,https://purl.org/ccf/ASCTB-TEMP_ctc-552d5-1,hra
CTC-806A22.1,https://purl.org/ccf/ASCTB-TEMP_ctc-806a22-1,hra
CTD-2008L17.2,https://purl.org/ccf/ASCTB-TEMP_ctd-2008l17-2,hra
CTD-2050E21.1,https://purl.org/ccf/ASCTB-TEMP_ctd-2050e21-1,hra
CTD-2050E21.2,https://purl.org/ccf/ASCTB-TEMP_ctd-2050e21-2,hra
CTD-2058B24.2,https://purl.org/ccf/ASCTB-TEMP_ctd-2058b24-2,hra
CTD-2195H9.1,https://purl.org/ccf/ASCTB-TEMP_ctd-2195h9-1,hra
CTD-2215L10.1,https://purl.org/ccf/ASCTB-TEMP_ctd-2215l10-1,hra
CTD-2288O8.3,https://purl.org/ccf/ASCTB-TEMP_ctd-2288o8-3,hra
CTD-2533K21.4,https://purl.org/ccf/ASCTB-TEMP_ctd-2533k21-4,hra
CTD-2545M3.8,https://purl.org/ccf/ASCTB-TEMP_ctd-2545m3-8,hra
CTHRC1,http://identifiers.org/hgnc/18831,hra
CTNNB1,http://identifiers.org/hgnc/2514,hra
CTNNBL1,http://identifiers.org/hgnc/15879,hra
CTRB1,http://identifiers.org/hgnc/2521,hra
CTSG,http://identifiers.org/hgnc/2532,hra
CTSH,http://identifiers.org/hgnc/2535,hra
CTSS,http://identifiers.org/hgnc/2545,hra
CTSV,http://identifiers.org/hgnc/2538,hra
CTSW,http://identifiers.org/hgnc/2546,hra
CTXN3,http://identifiers.org/hgnc/31110,hra
CTXND1,http://identifiers.org/hgnc/50507,hra
CUBN,http://identifiers.org/hgnc/2548,hra
CX3CR1,http://identifiers.org/hgnc/2558,hra
CXCL1,http://identifiers.org/hgnc/4602,hra
CXCL12,http://identifiers.org/hgnc/10672,hra
CXCL13,http://identifiers.org/hgnc/10639,hra
CXCL14,http://identifiers.org/hgnc/10640,hra
CXCL16,http://identifiers.org/hgnc/16642,hra
CXCL5,http://identifiers.org/hgnc/10642,hra
CXCL8,https://purl.org/ccf/ASCTB-TEMP_cxcl8,hra
CXCL9,http://identifiers.org/hgnc/7098,hra
CXCR3,http://identifiers.org/hgnc/4540,hra
CXCR4,http://identifiers.org/hgnc/2561,hra
CXCR4,https://purl.org/ccf/ASCTB-TEMP_cxcr4,hra
CXCR5,http://identifiers.org/hgnc/1060,hra
CYGB,http://identifiers.org/hgnc/16505,hra
CYP19A1,http://identifiers.org/hgnc/2594,hra
CYP1B1-AS1,http://identifiers.org/hgnc/28543,hra
CYP27A1,http://identifiers.org/hgnc/2605,hra
CYP2A7,http://identifiers.org/hgnc/2611,hra
CYP2D6,http://identifiers.org/hgnc/2625,hra
CYP3A4,http://identifiers.org/hgnc/2637,hra
Chromogranin,https://purl.org/ccf/ASCTB-TEMP_chromogranin,hra
Cytokeratin,https://purl.org/ccf/ASCTB-TEMP_cytokeratin,hra
Cytokeratin 7,https://purl.org/ccf/ASCTB-TEMP_cytokeratin-7,hra
DACH1,http://identifiers.org/hgnc/2663,hra
DACH2,http://identifiers.org/hgnc/16814,hra
DBH,http://identifiers.org/hgnc/2689,hra
DCAF12,http://identifiers.org/hgnc/19911,hra
DCDC2C,http://identifiers.org/hgnc/32696,hra
DCLK1,http://identifiers.org/hgnc/2700,hra
DCLK1,https://purl.org/ccf/ASCTB-TEMP_dclk1,hra
DCSTAMP,http://identifiers.org/hgnc/18549,hra
DDB2,http://identifiers.org/hgnc/2718,hra
DDIT4,http://identifiers.org/hgnc/24944,hra
DDR2,http://identifiers.org/hgnc/2731,hra
DEFA5,http://identifiers.org/hgnc/2764,hra
DEFB1,http://identifiers.org/hgnc/2766,hra
DENND2D,http://identifiers.org/hgnc/26192,hra
DEUP1,http://identifiers.org/hgnc/26344,hra
DGKI,http://identifiers.org/hgnc/2855,hra
DIRAS3,http://identifiers.org/hgnc/687,hra
DKK1,http://identifiers.org/hgnc/2891,hra
DKK2,http://identifiers.org/hgnc/2892,hra
DKK3,http://identifiers.org/hgnc/2893,hra
DLK1,http://identifiers.org/hgnc/2907,hra
DMRTA1,http://identifiers.org/hgnc/13826,hra
DNASE1L3,http://identifiers.org/hgnc/2959,hra
DNTT,http://identifiers.org/hgnc/2983,hra
DOCK8,http://identifiers.org/hgnc/19191,hra
DPP4,http://identifiers.org/hgnc/3009,hra
DPT,http://identifiers.org/hgnc/3011,hra
DRD1,http://identifiers.org/hgnc/3020,hra
DRD2,http://identifiers.org/hgnc/3023,hra
DRD3,http://identifiers.org/hgnc/3024,hra
DSC2,http://identifiers.org/hgnc/3036,hra
DTHD1,http://identifiers.org/hgnc/37261,hra
DTL,http://identifiers.org/hgnc/30288,hra
DUSP2,http://identifiers.org/hgnc/3068,hra
DUSP4,http://identifiers.org/hgnc/3070,hra
DYNLRB2,http://identifiers.org/hgnc/15467,hra
E2F8,http://identifiers.org/hgnc/24727,hra
EBF1,http://identifiers.org/hgnc/3126,hra
EBF2,http://identifiers.org/hgnc/19090,hra
EBF3,http://identifiers.org/hgnc/19087,hra
EDN1,http://identifiers.org/hgnc/3176,hra
EDNRA,http://identifiers.org/hgnc/3179,hra
EDNRB,http://identifiers.org/hgnc/3180,hra
EFNB2,http://identifiers.org/hgnc/3227,hra
EGF,http://identifiers.org/hgnc/3229,hra
EGFEM1P,http://identifiers.org/hgnc/25149,hra
EGFR,http://identifiers.org/hgnc/3236,hra
EHD3,http://identifiers.org/hgnc/3244,hra
EIF4A3,http://identifiers.org/hgnc/18683,hra
ELANE,http://identifiers.org/hgnc/3309,hra
ELF3,http://identifiers.org/hgnc/3318,hra
ELN,http://identifiers.org/hgnc/3327,hra
