gene_name,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,hgnc
MEOX1,ENSG00000005102,endothelial,"highest endothelial cells, also fibroblasts, smooth muscle",MxIF Proteins,,check specificity?,,False,,False,,HGNC:7013
NRG3,ENSG00000185737,endothelial,Endocardial Endothelial,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:7999
PCDH15,ENSG00000150275,endothelial,Endocardial Endothelial,Tissue  expert added,HRT,,,False,,False,,HGNC:14674
PDPN,ENSG00000162493,endothelial,"endothelial, lymphatics, stromal of LN, podocytes, osteocytes, type 1 pneumocytes",MxIF Proteins,,,,True,"General - Endothelial cells,General - Fibroblasts,General - Monocytes,Lung - Alveolar cells type 1",False,,HGNC:29602
ROBO4,ENSG00000154133,endothelial,endothelial tip cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:17985
SOX17,ENSG00000164736,endothelial,"endothelial cell of artery,endothelial tip cell",TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells",False,,HGNC:18122
VEGFA,ENSG00000112715,endothelial,"endothelial cells, cardiac myofibroblasts, macrophages, schwann cells, activated chondrocytes",MxIF Proteins,,,,False,,False,,HGNC:12680
MMRN2,ENSG00000173269,"endothelial, artery",endothelial cell of artery,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",False,,HGNC:19888
SOX18,ENSG00000203883,"endothelial, artery",endothelial cell of artery,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",False,,HGNC:11194
ADGRF5,ENSG00000069122,"endothelial, capillary",capillary endothelial cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19030
CLDN5,ENSG00000184113,"endothelial, capillary",capillary endothelial cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:2047
ART4,ENSG00000111339,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:726
CCL21,ENSG00000137077,"endothelial, lymphatic",endothelial cell of lymphatic vessel,"TOP 5 (CZI) List, MxIF protein",,,,False,,False,,HGNC:10620
ECSCR,ENSG00000249751,"endothelial, lymphatic","endothelial cell of lymphatic vessel,endothelial tip cell",TOP 5 (CZI) List,,,,True,General - Endothelial cells,False,,HGNC:35454
FABP4,ENSG00000170323,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:3559
LYVE1,ENSG00000133800,"endothelial, lymphatic",lymphatic endothelial cells. some macrophages,MxIF Proteins,,,,True,"General - Endothelial cells,Liver - Hepatic stellate cells,Liver - Kupffer cells",False,,HGNC:14687
MMRN1,ENSG00000138722,"endothelial, lymphatic",endothelial cell of lymphatic vessel,TOP 5 (CZI) List; MxIF Proteins,,,,True,"General - Endothelial cells,Liver - Hepatic stellate cells",True,,HGNC:7178
POF1B,ENSG00000124429,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:13711
PROX1,ENSG00000117707,"endothelial, lymphatic","""defining marker for LECs"", also in hepatocytes, slow muscle fibers, etc - multiple?; embryonic sympathic neurons, pancreas, liver, heart, intesetinal (lung>) enteroendocrine and neurondocrine cells, cytoplasm of megakaryoctyes and platelets",MxIF Proteins,,,,True,"Colon - Enteroendocrine cells,General - Endothelial cells,Heart - Cardiomyocytes,Liver - Cholangiocytes,Liver - Hepatocytes",False,,HGNC:9459
SCN3A,ENSG00000153253,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:10590
THBD,ENSG00000178726,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:11784
TM4SF18,ENSG00000163762,"endothelial, lymphatic","endothelial cell of lymphatic vessel,endothelial tip cell",TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",False,,HGNC:25181
TSPEAR,ENSG00000175894,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:1268
CADM3-AS1,ENSG00000225670,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:40812
CPLX1,ENSG00000168993,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:2309
DCC,ENSG00000187323,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:2701
ELOVL7,ENSG00000164181,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:26292
FMO2,ENSG00000094963,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:3770
LINC02360,ENSG00000248300,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:53282
RXFP1,ENSG00000171509,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:19718
SPC25,ENSG00000152253,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:24031
ACKR1,ENSG00000213088,"endothelial, vein",vein endothelial cell,TOP 5 (CZI) List,Lung,,,True,General - (post cap venule) Endothelial cells,True,,HGNC:4035
DIPK2B,ENSG00000147113,"endothelial, vein",vein endothelial cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:25866
PLVAP,ENSG00000130300,"endothelial, vein",vein endothelial cell,TOP 5 (CZI) List; MxIF Proteins,,,,False,,True,,HGNC:13635
ADCYAP1R1,ENSG00000078549,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:242
AGER,ENSG00000204305,epithelial,type 1 pneumocyte,MxIF Proteins,,,,True,Lung - Alveolar cells type 1,True,,HGNC:320
AMY2A,ENSG00000243480,epithelial,acinar cell,Tissue  expert added,pancreas,,,True,Pancreas - Exocrine glandular cells,False,,HGNC:477
AR,ENSG00000169083,epithelial,"Sebocytes, apocrine glands",Tissue  expert added,Skin,,,True,"Breast - Breast glandular cells,Liver - Hepatocytes",False,,HGNC:644
ARHGAP40,ENSG00000124143,epithelial,absorptive cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:16226
AZGP1,ENSG00000160862,epithelial,serous cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:910
CALML3,ENSG00000178363,epithelial,absorptive cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:1452
CEACAM5,ENSG00000105388,epithelial,goblet cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:1817
CEACAM6,ENSG00000086548,epithelial,goblet cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:1818
CHRM3,ENSG00000133019,epithelial,glandular epithelium,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:1952
CLDN3,ENSG00000165215,epithelial,enterocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:2045
COL17A1,ENSG00000065618,epithelial,myoepithelial cell,TOP 5 (CZI) List,,,,True,"Breast - Breast myoepithelial cells,Colon - Distal enterocytes,Skin - Basal keratinocytes",False,,HGNC:2194
CXCL6,ENSG00000124875,epithelial,club cell,TOP 5 (CZI) List,,,CXCL4,True,"General - Fibroblasts,Liver - Cholangiocytes,Lung - Club cells,Pancreas - Ductal cells",False,,HGNC:10643
CYP24A1,ENSG00000019186,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:2602
CYP2F1,ENSG00000197446,epithelial,"club cell,goblet cell",TOP 5 (CZI) List,,,,True,Lung - club cells,True,,HGNC:2632
DPP6,ENSG00000130226,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:3010
EPCAM,ENSG00000119888,epithelial,most epithelial cells,MxIF Proteins,,,CDH1- this is not correct - CDH1 is ecadherin; EPCAM is CD326 if wanted the CD ID,True,"Breast - Breast glandular cells,Colon - Distal enterocytes,Colon - Intestinal goblet cells,Colon - Paneth cells,Colon - Undifferentiated cells,General - Epithelial cells,Kidney - Collecting duct cells,Kidney - Proximal tubular cells,Liver - Cholangiocytes,Lung - Alveolar cells type 1,Lung - Club cells,Lung - Respiratory ciliated cells,Pancreas - Ductal cells",True,,HGNC:11529
FABP1,ENSG00000163586,epithelial,enterocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:3555
FGG,ENSG00000171557,epithelial,"duct cell,serous cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:3694
FOXI1,ENSG00000168269,epithelial,"ionocytes, kidney intercalated cells",MxIF Proteins,,,,True,Kidney - distal tubular cells,False,,HGNC:3815
GABRP,ENSG00000094755,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:4089
GCNT3,ENSG00000140297,epithelial,serous cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:4205
HNF1B,ENSG00000275410,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:11630
ITPRID1,ENSG00000180347,epithelial,tuft cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:27363
KCNC3,ENSG00000131398,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:6235
KLK11,ENSG00000167757,epithelial,mucous cell,TOP 5 (CZI) List,,,,True,"Lung - Alveolar cells type 1,Lung - Club cells,Pancreas - Exocrine glandular cells,Skin - Suprabasal keratinocytes",False,,HGNC:6359
KRT14,ENSG00000186847,epithelial,"basal cells, works with KRT5; metaplastic cells in cases of fibrosis; basal keratinocytes, outer root sheath (skin)",MxIF Proteins; Tissue expert added,,,,False,,False,,HGNC:6416
KRT17,ENSG00000128422,epithelial,"basal, hair follicles, sebaceous glands, may be low as baseline and induced with stress",MxIF Proteins,,,,False,,False,,HGNC:6427
KRT71,ENSG00000139648,epithelial,Inner root sheath,Tissue  expert added,Skin,,,False,,False,,HGNC:28927
KRT8,ENSG00000170421,epithelial,"multiple tissues, type 2 pneumocytes",MxIF Proteins,,,,False,,False,,HGNC:6446
LGALS4,ENSG00000171747,epithelial,enterocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:6565
LOR,ENSG00000203782,epithelial,epithelial,Tissue  expert added,Skin,,,False,,False,,
MAL2,ENSG00000147676,epithelial,mucous cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:13634
MISP,ENSG00000099812,epithelial,enterocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:27000
MMP3,ENSG00000149968,epithelial,"epithelial, periosteum, osteocytes/blasts, lung in IPF, chondrocytes, disc degeneration, inducible",Tissue  expert added,IVD,,,False,,False,,HGNC:7173
MUC5AC,ENSG00000215182,epithelial,"goblet cells lung, endocervix",MxIF Proteins,,,,False,,False,,HGNC:7515
MUC5B,ENSG00000117983,epithelial,"mucin secreting cells, airway epithelium, SM glands, etc",MxIF Proteins,,,,False,,True,,HGNC:7516
NR5A2,ENSG00000116833,epithelial,granulosa cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:7984
PAX1,ENSG00000125813,epithelial,"ventral vertebral column, few thymic stromal",Tissue  expert added,IVD,,,False,,False,,HGNC:8615
RAB25,ENSG00000132698,epithelial,"duct cell,mucous cell,stratified epithelial cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:18238
REEP6,ENSG00000115255,epithelial,granulosa cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:30078
RTKN2,ENSG00000182010,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,True,Lung - Alveolar cells type 1,False,,HGNC:19364
S100A14,ENSG00000189334,epithelial,"duct cell,mucous cell,stratified epithelial cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:18901
SCEL,ENSG00000136155,epithelial,type I pneumocyte,TOP 5 (CZI) List; MxIF Proteins,,,,False,,True,,HGNC:10573
SCGB3A2,ENSG00000164265,epithelial,"submocosal glands, bronchiolar epithelium, ? other tissues",MxIF Proteins,,,,False,,True,,HGNC:18391
SFRP2,ENSG00000145423,epithelial,"hari follicles, ?cell in IVD, pancreatic ca",Tissue  expert added,IVD,,,True,"General - Endothelial cells,General - Fibroblasts,General - Smooth muscle cells",False,,HGNC:10777
SFTPB,ENSG00000168878,epithelial,"type II pneumocyte, bronchiolar epithelium",MxIF Proteins,,,,False,,True,,HGNC:10801
SH2D7,ENSG00000183476,epithelial,tuft cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:34549
SHH,ENSG00000164690,epithelial,Hair shaft matrix,Tissue  expert added,Skin,,,False,,False,,HGNC:10848
SLC15A1,ENSG00000088386,epithelial,paneth cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:10920
SLC1A1,ENSG00000106688,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10939
SLC22A31,ENSG00000259803,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:27091
SLC34A2,ENSG00000157765,epithelial,"duct cell,type II pneumocyte",TOP 5 (CZI) List,,,,False,,False,,HGNC:11020
SLC5A12,ENSG00000148942,epithelial,paneth cell,TOP 5 (CZI) List,,,,False,,True,,HGNC:28750
SLC5A8,ENSG00000256870,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:19119
SLCO1A2,ENSG00000084453,epithelial,tuft cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:10956
SPDEF,ENSG00000124664,epithelial,goblet cell,TOP 5 (CZI) List,,,,True,"Breast - Breast glandular cells,Colon - Intestinal goblet cells",True,,HGNC:17257
SRPX,ENSG00000101955,epithelial,granulosa cell,TOP 5 (CZI) List,,,,True,"General - Endothelial cells,General - Fibroblasts,Liver - Hepatic stellate cells",False,,HGNC:11309
ST6GALNAC5,ENSG00000117069,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:19342
TNNI3,ENSG00000129991,epithelial,granulosa cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:11947
TNS4,ENSG00000131746,epithelial,myoepithelial cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:24352
TP63,ENSG00000073282,epithelial,"basal, myoepithelial cell",TOP 5 (CZI) List; MxIF Proteins,,,,False,,True,,HGNC:15979
TRIM50,ENSG00000146755,epithelial,paneth cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19017
TRPM5,ENSG00000070985,epithelial,tuft cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:14323
TSPAN8,ENSG00000127324,epithelial,club cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:11855
TTYH1,ENSG00000167614,epithelial,serous cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:13476
UGT2B7,ENSG00000171234,epithelial,"absorptive cell,duct cell,tuft cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:12554
UPK1B,ENSG00000114638,epithelial,"club cell,goblet cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:12578
UPK3A,ENSG00000100373,epithelial,paneth cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:12580
VCAN,ENSG00000038427,epithelial,granulosa cell,TOP 5 (CZI) List,,,,True,"General - Fibroblasts,General - Macrophages,General - Smooth muscle cells,Liver - Kupffer cells",False,,HGNC:2464
VSIG2,ENSG00000019102,epithelial,club cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:17149
WIF1,ENSG00000156076,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:18081
WWC1,ENSG00000113645,epithelial,absorptive cell; epicardium,TOP 5 (CZI) List; Tissue Expert Added,HRT,,,False,,False,,HGNC:29435
ZNF385B,ENSG00000144331,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:26332
ZNF750,ENSG00000141579,epithelial,absorptive cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:25843
KRT19,ENSG00000171345,epithelial and eccrine,"stratified epithelial cell; restricted expression in gut, pancreatic ducts (IVD); Eccrine ductal cells (skin)",TOP 5 (CZI) List; Tissue expert added,,,,False,,False,,HGNC:6436
AQP5,ENSG00000161798,"epithelial, eccrine cells",Eccrine secretory cells,Tissue  expert added,Skin,,,False,,False,,HGNC:638
DCD,ENSG00000161634,"epithelial, eccrine cells",Eccrine secretory cells,Tissue  expert added,Skin,,,False,,False,,HGNC:14669
KRT18,ENSG00000111057,"epithelial, eccrine cells",Eccrine and apocrine secretory cells,Tissue  expert added,Skin,,,False,,False,,HGNC:6430
DSC1,ENSG00000134765,"epithelial, keratinocytes",Differentiated Keratinocytes,Tissue  expert added,Skin,,,False,,False,,HGNC:3035
DSC3,ENSG00000134762,"epithelial, keratinocytes",keratinocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:3037
FLG,ENSG00000143631,"epithelial, keratinocytes",Cornified Keratinocytes,Tissue  expert added,Skin,,,False,,False,,HGNC:3748
KRT15,ENSG00000171346,"epithelial, keratinocytes",EpSC and Other Progenitors_1; TSK_basal; BCC,Tissue  expert added,Skin,,,False,,False,,HGNC:6421
KRT2,ENSG00000172867,"epithelial, keratinocytes",Spinous to Granular Cells,Tissue  expert added,Skin,,,False,,False,,HGNC:6439
KRT5,ENSG00000186081,"epithelial, keratinocytes","keratinocyte,myoepithelial cell,stratified epithelial cell",TOP 5 (CZI) List; MxIF Proteins,,,,False,,True,,HGNC:6442
KRTDAP,ENSG00000188508,"epithelial, keratinocytes",Differentiated Keratinocytes; Pilosebaceous cells; BCC,Tissue  expert added,Skin,,,False,,False,,HGNC:16313
LAMB3,ENSG00000196878,"epithelial, keratinocytes",TSK,Tissue  expert added,Skin,,,False,,False,,HGNC:6490
LY6D,ENSG00000167656,"epithelial, keratinocytes",Differentiated Keratinocytes; Keratinocytes,Tissue  expert added,Skin,,,True,Skin - Suprabasal keratinocytes,False,,HGNC:13348
LYPD3,ENSG00000124466,"epithelial, keratinocytes",Differentiated Keratinocytes,Tissue  expert added,Skin,,,False,,False,,HGNC:24880
SERPINB5,ENSG00000206075,"epithelial, keratinocytes",keratinocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:8949
SFN,ENSG00000175793,"epithelial, keratinocytes","keratinocyte,stratified epithelial cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:10773
SFRP1,ENSG00000104332,"epithelial, keratinocytes",TSK_basal,Tissue  expert added,Skin,,,False,,False,,HGNC:10776
BCAN,ENSG00000132692,"epithelial, melanocyte",melanocyte,Tissue  expert added,Skin,,,False,,False,,HGNC:23059
COL11A1,ENSG00000060718,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:2186
MLANA,ENSG00000120215,"epithelial, melanocyte",melanocyte,Tissue  expert added,Skin,,,True,Skin - Melanocytes,False,,HGNC:7124
PMEL,ENSG00000185664,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10880
SIM2,ENSG00000159263,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10883
SLC30A8,ENSG00000164756,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:20303
TRIM63,ENSG00000158022,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:16007
TYRP1,ENSG00000107165,"epithelial, melanocyte",melanocyte,Tissue  expert added,Skin,,,False,,False,,HGNC:12450
HAS1,ENSG00000105509,"epithelial, mesenchymal",Epicardium,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:4818
SLC39A8,ENSG00000138821,"epithelial, mesenchymal",Epicardium,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:20862
CFAP157,ENSG00000160401,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:27843
DNAH12,ENSG00000174844,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:2943
ERICH3,ENSG00000178965,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:25346
FOXJ1,ENSG00000129654,"epithelial, multiciliated",multiciliated cells,MxIF Proteins,,,,True,Lung - Respiratory ciliated cells,True,,HGNC:3816
ZMYND10,ENSG00000004838,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19412
ITGA9,ENSG00000144668,"epithelial, stroma","airway epithelium, basal layer squamous epithelium, smooth and skeletal muscle",MxIF Proteins,,,,False,,False,,HGNC:6145
ALOX5,ENSG00000012779,ferroptosis,multiple,Tissue  expert added,,,,False,,False,,HGNC:435
TFRC,ENSG00000072274,ferroptosis,multiple,Tissue  expert added,,,TFR1,False,,False,,HGNC:11763
AHSP,ENSG00000169877,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,True,Liver - Erythroid cells,False,,HGNC:18075
ALAS2,ENSG00000158578,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,True,Liver - Erythroid cells,False,,HGNC:397
CD38,ENSG00000004468,hematopoietic,"maturing lymphoid, plasma cells",MxIF Proteins; Tissue  expert added,,,,False,,True,,HGNC:1667
PF4,ENSG00000163737,hematopoietic,"megakaryocytes, platelets",MxIF Proteins,,,,False,,False,,HGNC:8861
GYPB,ENSG00000250361,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,True,Liver - Erythroid cells,False,,HGNC:4703
HBM,ENSG00000206177,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:4826
PTPRC,ENSG00000081237,hematopoietic,"all nucleated hematopoietic cells, cells derived from bone marrow",MxIF Proteins,,,CD45,True,"Breast - Dendritic cells,General - B cells,General - Immune cells,General - Macrophages,General - T cells,Liver - Kupffer cells",True,Highly expressed,HGNC:9666
SLC4A1,ENSG00000004939,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,True,Liver - Erythroid cells,True,,HGNC:11027
CD34,ENSG00000174059,hematopoietic stem cell,"immature endothelium, and others",MxIF Proteins,,,,True,"Breast - Adipocytes,General - Endothelial cells,General - Fibroblasts,Liver - Hepatic stellate cells",False,,HGNC:1662
DPPA4,ENSG00000121570,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19200
IGLL1,ENSG00000128322,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:5870
PRSS57,ENSG00000185198,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:31397
SPINK2,ENSG00000128040,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:11245
HIF1A,ENSG00000100644,"hypoxia, stress",multiple,Tissue  expert added,,,,False,,True,Highly expressed,HGNC:4910
ACER1,ENSG00000167769,Immune cells,CD4_RGCC,Tissue  expert added,Skin,,,False,,False,,HGNC:18356
CCL19,ENSG00000172724,Immune cells,DC_CLEC9A_migrating; Pro-inflammatory Fibroblasts,Tissue  expert added,Skin,,,True,"General - Fibroblasts,General - Monocytes,General - Smooth muscle cells",False,,HGNC:10617
CCL22,ENSG00000102962,Immune cells,DC_Langerhans cells_migrating; DC,Tissue  expert added,Skin,,,False,,False,,HGNC:10621
CD1A,ENSG00000158477,Immune cells,DC_Langerhans cells; Macrophages and DC_3,Tissue  expert added,Skin,,,True,"General - Dendritic cells,Skin - Langerhans cells",False,,HGNC:1634
CD1B,ENSG00000158485,Immune cells,DC_Langerhans cells_migrating,Tissue  expert added,Skin,,,False,,False,,HGNC:1635
PTGDR2,ENSG00000183134,immune lymphoid,"CD4 (Th2),ILCs, ",MxIF Proteins,,,CRTH2,False,,False,,HGNC:4502
BANK1,ENSG00000153064,"immune lymphoid, B",B cell,Tissue  expert added,,,,True,"General - B cells,General - T cells",True,,HGNC:18233
BLK,ENSG00000136573,"immune lymphoid, B",memory B cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:1057
CD19,ENSG00000177455,"immune lymphoid, B","follicular B cell,mature B cell",TOP 5 (CZI) List,,,,True,General - B cells,False,,HGNC:1633
CLEC17A,ENSG00000187912,"immune lymphoid, B",immature B cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:34520
DERL3,ENSG00000099958,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,True,"General - B cells,General - T cells,Skin - Melanocytes",False,,HGNC:14236
FCRL1,ENSG00000163534,"immune lymphoid, B","follicular B cell,naive B cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:18509
FCRL5,ENSG00000143297,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:18508
FCRLA,ENSG00000132185,"immune lymphoid, B","class switched memory B cell,follicular B cell,immature B cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:18504
MS4A1,ENSG00000156738,"immune lymphoid, B","class switched memory B cell,follicular B cell,immature B cell,mature B cell,memory B cell,naive B cell,pre-B cell",TOP 5 (CZI) List; MxIF Proteins,,,CD20,True,"General - B cells,General - T cells",False,,HGNC:7315
MZB1,ENSG00000170476,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,True,"Colon - Undifferentiated cells,General - B cells,General - T cells,Skin - Melanocytes",True,,HGNC:30125
NIBAN3,ENSG00000167483,"immune lymphoid, B",pre-B cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:24130
