gene_label,ct_label,as_label,as,ct,gene,source,avg_mean_gene_expr,cell_instance_count,dataset_count
ACTA2,vascular associated smooth muscle cell,testicular artery,http://purl.obolibrary.org/obo/UBERON_0001187,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,left testicular artery,http://purl.obolibrary.org/obo/UBERON_0001189,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,perineal artery,http://purl.obolibrary.org/obo/UBERON_0001358,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,thoraco-acromial artery,http://purl.obolibrary.org/obo/UBERON_0001395,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,subscapular artery,http://purl.obolibrary.org/obo/UBERON_0001397,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,brachial artery,http://purl.obolibrary.org/obo/UBERON_0001398,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,medial plantar artery,http://purl.obolibrary.org/obo/UBERON_0001541,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,right coronary artery,http://purl.obolibrary.org/obo/UBERON_0001625,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,middle cerebral artery,http://purl.obolibrary.org/obo/UBERON_0001627,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,posterior cerebral artery,http://purl.obolibrary.org/obo/UBERON_0001636,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,median artery,http://purl.obolibrary.org/obo/UBERON_0002249,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,deferent duct artery,http://purl.obolibrary.org/obo/UBERON_0005192,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,musculo-phrenic artery,http://purl.obolibrary.org/obo/UBERON_0006632,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,anterior communicating artery,http://purl.obolibrary.org/obo/UBERON_0006764,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,common penile artery,http://purl.obolibrary.org/obo/UBERON_0008320,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,interlobar artery,http://purl.obolibrary.org/obo/UBERON_0009885,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,spleen central arteriole,http://purl.obolibrary.org/obo/UBERON_0010401,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,inferior phrenic artery,http://purl.obolibrary.org/obo/UBERON_0012255,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,superior phrenic artery,http://purl.obolibrary.org/obo/UBERON_0013133,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,helicine branch of uterine artery,http://purl.obolibrary.org/obo/UBERON_0015173,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,arcuate artery of foot,http://purl.obolibrary.org/obo/UBERON_0034927,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,inferior hypophysial artery,http://purl.obolibrary.org/obo/UBERON_0035492,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,posterolateral artery,http://purl.obolibrary.org/obo/UBERON_8600064,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,dural artery,http://purl.obolibrary.org/obo/UBERON_8600079,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,artery of pterygoid canal,http://purl.obolibrary.org/obo/UBERON_8600100,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Ninth anterior intercostal artery,http://purl.org/sig/ont/fma/fma10651,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Second anterior intercostal artery,http://purl.org/sig/ont/fma/fma10653,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Right first lumbar artery,http://purl.org/sig/ont/fma/fma14738,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Right third lumbar artery,http://purl.org/sig/ont/fma/fma14740,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Anterior superior pancreaticoduodenal artery,http://purl.org/sig/ont/fma/fma14782,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Lumbar part of iliolumbar artery,http://purl.org/sig/ont/fma/fma18849,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Iliac part of iliolumbar artery,http://purl.org/sig/ont/fma/fma18850,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Radial recurrent artery,http://purl.org/sig/ont/fma/fma22748,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Dorsal carpal branch of radial artery,http://purl.org/sig/ont/fma/fma22755,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Medial proper palmar digital artery of ring finger,http://purl.org/sig/ont/fma/fma23046,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Medial proper palmar digital artery of index finger,http://purl.org/sig/ont/fma/fma23047,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Lateral proper palmar digital artery of little finger,http://purl.org/sig/ont/fma/fma23048,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Medial collateral artery,http://purl.org/sig/ont/fma/fma23119,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
