as_label,uberon_id,sex,ref_organ
female brachiocephalic artery a,UBERON:0001529,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female brachiocephalic artery b,UBERON:0001529,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female cardiac vein,UBERON:0004148,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female celiac trunk,FMA:14812,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female central retinal artery,FMA:49881,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female central retinal artery,FMA:49880,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female central retinal vein,FMA:51885,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female central retinal vein,FMA:51884,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female common hepatic artery,UBERON:0005436,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female common iliac vein,UBERON:0001139,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female coronary sinus,UBERON:0005438,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female cystic artery,UBERON:0039222,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female cystic vein,UBERON:0035392,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female descending aorta,UBERON:0001514,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female descending aorta a,UBERON:0001514,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female descending aorta b,UBERON:0001514,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female diagonal branch of left anterior descending artery,FMA:3860,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female great cardiac vein,UBERON:0006958,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female hepatic portal vein,UBERON:0001639,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female ileocolic artery,UBERON:0035548,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female ileocolic vein,UBERON:0001219,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior mesenteric artery,UBERON:0001183,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior mesenteric vein,UBERON:0001182,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior ophthalmic vein,FMA:51251,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior ophthalmic vein,FMA:51250,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior pancreaticoduodenal vein,FMA:0329299,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior rectal vein,FMA:21242,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior vena cava,FMA:10951,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior vena cava a,FMA:10951,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female inferior vena cava b,FMA:10951,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female internal iliac vein,UBERON:0001317,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female internal pudendal vein,UBERON:0018252,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left anterior descending artery,FMA:8636,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left circumflex artery,UBERON:0035422,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left colic artery,FMA:14826,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left colic vein,FMA:15394,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left common carotid artery,UBERON:0001536,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left common carotid artery a,UBERON:0001536,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left common carotid artery b,UBERON:0001536,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left common iliac vein,FMA:21388,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left coronary artery,UBERON:0001626,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left hepatic artery,FMA:14779,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left hepatic vein,FMA:14339,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left marginal branch,FMA:3902,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left marginal vein,FMA:4708,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left posterior descending branch of circumflex branch of left coronary artery,FMA:322904,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left renal artery,UBERON:0001186,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left renal vein,UBERON:0001142,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left subclavian artery,UBERON:0001584,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left subclavian artery a,UBERON:0001584,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left subclavian artery b,UBERON:0001584,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left uterine artery,FMA:18831,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female left uterine vein,FMA:18898,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female long posterior ciliary artery,FMA:49958,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female long posterior ciliary artery,FMA:49957,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female marginal artery of D,FMA:14824,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female carina,UBERON:0006679,Female,https://purl.humanatlas.io/ref-organ/trachea-female/v1.1#primary
female tracheal cartilage,UBERON:0003604,Female,https://purl.humanatlas.io/ref-organ/trachea-female/v1.1#primary
female thymus lobe,UBERON:0005457,Female,https://purl.humanatlas.io/ref-organ/thymus-female/v1.3#primary
female thymus lobe,UBERON:0005469,Female,https://purl.humanatlas.io/ref-organ/thymus-female/v1.3#primary
female colic surface of spleen,FMA:15838,Female,https://purl.humanatlas.io/ref-organ/spleen-female/v1.3#primary
female diaphragmatic surface of spleen,FMA:15828,Female,https://purl.humanatlas.io/ref-organ/spleen-female/v1.3#primary
female gastric surface of spleen,FMA:15837,Female,https://purl.humanatlas.io/ref-organ/spleen-female/v1.3#primary
female hilum of spleen,UBERON:0001248,Female,https://purl.humanatlas.io/ref-organ/spleen-female/v1.3#primary
female renal surface of spleen,FMA:15839,Female,https://purl.humanatlas.io/ref-organ/spleen-female/v1.3#primary
female,UBERON:0006469,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female,UBERON:0006489,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female,UBERON:0006488,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female,UBERON:0006490,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female,UBERON:0006491,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female,UBERON:0006492,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
