"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","annotation_label","annotation_label_id","cell_label2"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000412","Afferent / Efferent Arteriole Endothelial",4.826,0.0000972573194093204,"Afferent / Efferent Arteriole Endothelial","AZ:0000022","endothelial cell of arteriole:afferent/efferent"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000412","Afferent / Efferent Arteriole Endothelial",4.826,0.0000972573194093204,"Afferent / Efferent Arteriole Endothelial","AZ:0000253","endothelial cell of arteriole:afferent/efferent"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",441.548,0.0400383601054903,"Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001131","Ascending Vasa Recta Endothelial",200.309,0.00383356521565055,"Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001131","Ascending Vasa Recta Endothelial",200.309,0.00383356521565055,"Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030014","Descending Thin Limb Type 3",520.385,0.0099592621137658,"Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030014","Descending Thin Limb Type 3",138.976,0.0972673648729987,"Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030014","Descending Thin Limb Type 3",520.385,0.0099592621137658,"Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030014","Descending Thin Limb Type 3",138.976,0.0972673648729987,"Descending Thin Limb Type 3","AZ:0000037","kidney loop of Henle long descending thin limb inner medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000653","Podocyte",235.94,0.00475484706619044,"Podocyte","AZ:0000063","podocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000653","Podocyte",235.94,0.00475484706619044,"Podocyte","AZ:0000063","podocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",1.464,0.0000295036708693007,"Natural Killer T","AZ:0000053","mature NK T cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",1.464,0.0000295036708693007,"Proliferating T/Nk","AZ:0000148","mature NK T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",1.464,0.0000295036708693007,"Natural Killer T","AZ:0000053","mature NK T cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000814","Natural Killer T",1.464,0.0000295036708693007,"Proliferating T/Nk","AZ:0000148","mature NK T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001005","Glomerular Capillary Endothelial",7.932,0.000719251977942939,"Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000714","Cortical Collecting Duct Principal",15.864,0.00143850395588588,"Cortical Collecting Duct Principal","AZ:0000031","kidney cortex collecting duct principal cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",3.966,0.00035962598897147,"Schwann / Neural","AZ:0000068","Schwann cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T","AZ:0000069","T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T Proliferating","AZ:0000477","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"Cycling T","AZ:0000559","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000597","Papillary Tip Epithelial",0.523,0.0000100093086570511,"Papillary Tip Epithelial","AZ:0000058","papillary tips cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",0.523,0.0000100093086570511,"Schwann / Neural","AZ:0000068","Schwann cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T","AZ:0000069","T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"T Proliferating","AZ:0000477","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"Cycling T","AZ:0000559","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",3.966,0.00035962598897147,"Cycling T","AZ:0000673","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",3.966,0.00035962598897147,"Schwann / Neural","AZ:0000068","Schwann cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000597","Papillary Tip Epithelial",0.523,0.0000100093086570511,"Papillary Tip Epithelial","AZ:0000058","papillary tips cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001005","Glomerular Capillary Endothelial",7.932,0.000719251977942939,"Glomerular Capillary Endothelial","AZ:0000042","glomerular capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000714","Cortical Collecting Duct Principal",15.864,0.00143850395588588,"Cortical Collecting Duct Principal","AZ:0000031","kidney cortex collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002573","Schwann / Neural",0.523,0.0000100093086570511,"Schwann / Neural","AZ:0000068","Schwann cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T","AZ:0000069","T cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T Proliferating","AZ:0000477","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"Cycling T","AZ:0000559","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T","AZ:0000069","T cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"T Proliferating","AZ:0000477","T cell:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"Cycling T","AZ:0000559","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000084","T",672.055,0.0128619616243106,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030022","Medullary Fibroblast",1246.17,0.0251137906606533,"Medullary Fibroblast","AZ:0000049","renal medullary fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030018","Connecting Tubule Principal",299.156,0.00572532455183321,"Connecting Tubule Principal","AZ:0000029","kidney connecting tubule principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Endothelial","AZ:0000045","endothelial cell of lymphatic vessel"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Ec Mature","AZ:0000329","endothelial cell of lymphatic vessel:mature"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Ec Differentiating","AZ:0000331","endothelial cell of lymphatic vessel:differentiating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Ec Proliferating","AZ:0000336","endothelial cell of lymphatic vessel:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Hlec1","AZ:0000518","endothelial cell of lymphatic vessel:1"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Hlec2","AZ:0000519","endothelial cell of lymphatic vessel:2"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",3177.748,0.0608165594002422,"Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Endothelial","AZ:0000045","endothelial cell of lymphatic vessel"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Ec Mature","AZ:0000329","endothelial cell of lymphatic vessel:mature"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Ec Differentiating","AZ:0000331","endothelial cell of lymphatic vessel:differentiating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Lymphatic Ec Proliferating","AZ:0000336","endothelial cell of lymphatic vessel:proliferating"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Hlec1","AZ:0000518","endothelial cell of lymphatic vessel:1"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0002138","Lymphatic Endothelial",6.276,0.000120111703884613,"Hlec2","AZ:0000519","endothelial cell of lymphatic vessel:2"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",3177.748,0.0608165594002422,"Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030022","Medullary Fibroblast",1246.17,0.0251137906606533,"Medullary Fibroblast","AZ:0000049","renal medullary fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030018","Connecting Tubule Principal",299.156,0.00572532455183321,"Connecting Tubule Principal","AZ:0000029","kidney connecting tubule principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"Cortical Vascular Smooth Muscle / Pericyte","AZ:0000033","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"Vascular Smooth Muscle / Pericyte","AZ:0000070","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"Cortical Vascular Smooth Muscle / Pericyte","AZ:0000033","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1001318","Vascular Smooth Muscle / Pericyte",295.078,0.00594664220817726,"Vascular Smooth Muscle / Pericyte","AZ:0000070","renal interstitial pericyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:4030011","Proximal Tubule Epithelial Segment 3",2450.245,0.0493792500199109,"Proximal Tubule Epithelial Segment 3","AZ:0000066","epithelial cell of proximal tubule segment 3"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:4030011","Proximal Tubule Epithelial Segment 3",2450.245,0.0493792500199109,"Proximal Tubule Epithelial Segment 3","AZ:0000066","epithelial cell of proximal tubule segment 3"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000692","Fibroblast",12.298,0.00860719874804382,"Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000692","Fibroblast",12.298,0.00860719874804382,"Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T","AZ:0000069","T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T Proliferating","AZ:0000477","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"Cycling T","AZ:0000559","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000692","Fibroblast",777.701,0.0148838419730349,"Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:0000097","Mast",72.697,0.0013912939033301,"Mast","AZ:0000048","mast cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000718","Inner Medullary Collecting Duct",10744.826,0.216538121483541,"Inner Medullary Collecting Duct","AZ:0000043","kidney inner medulla collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000692","Fibroblast",777.701,0.0148838419730349,"Fibroblast","AZ:0000041","kidney interstitial fibroblast"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T","AZ:0000069","T cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T Cells Proliferating","AZ:0000126","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T Cells Proliferating","AZ:0000371","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"T Proliferating","AZ:0000477","T cell:proliferating"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"Cycling T","AZ:0000559","T cell:cycling"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:0000084","T",3.268,0.00228722763934031,"Cycling T","AZ:0000673","T cell:cycling"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:0000097","Mast",72.697,0.0013912939033301,"Mast","AZ:0000048","mast cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000718","Inner Medullary Collecting Duct",10744.826,0.216538121483541,"Inner Medullary Collecting Duct","AZ:0000043","kidney inner medulla collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Pyramid","UBERON:0004200","CL:1001131","Ascending Vasa Recta Endothelial",15556.677,0.00791892690752822,"Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Pyramid","UBERON:0004200","CL:1001131","Ascending Vasa Recta Endothelial",15556.677,0.00791892690752822,"Ascending Vasa Recta Endothelial","AZ:0000024","vasa recta ascending limb cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1001108","Medullary Thick Ascending Limb",3058.504,0.0585344370264346,"Medullary Thick Ascending Limb","AZ:0000050","kidney loop of Henle medullary thick ascending limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1001108","Medullary Thick Ascending Limb",3058.504,0.0585344370264346,"Medullary Thick Ascending Limb","AZ:0000050","kidney loop of Henle medullary thick ascending limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030012","Descending Thin Limb Type 1",4846.641,0.0927562633248921,"Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030012","Descending Thin Limb Type 1",4846.641,0.0927562633248921,"Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000412","Afferent / Efferent Arteriole Endothelial",11.898,0.00107887796691441,"Afferent / Efferent Arteriole Endothelial","AZ:0000022","endothelial cell of arteriole:afferent/efferent"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000412","Afferent / Efferent Arteriole Endothelial",11.898,0.00107887796691441,"Afferent / Efferent Arteriole Endothelial","AZ:0000253","endothelial cell of arteriole:afferent/efferent"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000412","Afferent / Efferent Arteriole Endothelial",11.898,0.00107887796691441,"Afferent / Efferent Arteriole Endothelial","AZ:0000022","endothelial cell of arteriole:afferent/efferent"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000412","Afferent / Efferent Arteriole Endothelial",11.898,0.00107887796691441,"Afferent / Efferent Arteriole Endothelial","AZ:0000253","endothelial cell of arteriole:afferent/efferent"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:1000716","Outer Medullary Collecting Duct Principal",486.39,0.00930865705105748,"Outer Medullary Collecting Duct Principal","AZ:0000057","kidney outer medulla collecting duct principal cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:1000716","Outer Medullary Collecting Duct Principal",486.39,0.00930865705105748,"Outer Medullary Collecting Duct Principal","AZ:0000057","kidney outer medulla collecting duct principal cell"
