organ,as_label,cell_id,cell_label,cell_percentage,anatomical_structure_of,node_name,label,glb file of single organs,color
Left kidney,renal papilla,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,Peritubular Capilary Endothelial ,3.937831614644848e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#04e129
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0000084,T cell,0.0003596259889714696,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#7b3731
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0000650,mesangial cell,0.0004795013186286262,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#0cfbc4
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0000653,podocyte,0.001198753296571566,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#2d3b8e
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,0.0002397506593143131,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#d622e0
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0000890,M2 macrophage,0.002996883241428913,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#caabb7
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,0.001678254615200192,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#c7cf0e
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0002201,renal beta-intercalated cell,0.0002397506593143131,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#f9db4c
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0002573,Schwann cell,0.0003596259889714696,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#987f76
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_0011031,monocyte-derived dendritic cell,0.0001198753296571565,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#fd6d54
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000412,endothelial cell of arteriole,0.001078877966914409,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#09c40c
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell,0.0004795013186286262,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#2d9513
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,0.005993766482857827,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#c873ae
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,0.001438503955885879,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#75604e
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000715,kidney cortex collecting duct intercalated cell,0.01042915368017262,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#b22932
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell,0.09530088707743944,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#c4d3df
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000717,kidney outer medulla collecting duct intercalated cell,0.005154639175257732,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#94a82d
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,0.005034763845600575,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#30eb4b
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell,0.006353392471829297,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#527d01
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1001005,glomerular capillary endothelial cell,0.0007192519779429393,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#b18a60
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,0.0002397506593143131,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#a002e2
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,0.3018460800767202,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#bb50ee
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,0.2700791177175737,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#bf35a9
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1001131,vasa recta ascending limb cell,0.0284104531287461,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#e508fc
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte,0.01606329417405898,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#1525c5
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030011,epithelial cell of proximal tubule segment 3,0.01546391752577319,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#c59941
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell,0.06485255334452168,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#2fc9f2
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,0.04003836010549029,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#24f011
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030014,kidney loop of Henle long descending thin limb inner medulla epithelial cell,0.0001198753296571565,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#d0b58a
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030016,epithelial cell of early distal convoluted tubule,0.001678254615200192,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#7cd8e9
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030018,kidney connecting tubule principal cell,0.03620234955646128,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#36874a
Left kidney,renal column,http://purl.obolibrary.org/obo/CL_4030022,renal medullary fibroblast,0.02325581395348837,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#44ab07
Left kidney,renal column,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,Descending Vasa Recta Endothelial ,0.04902900982977702,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#fff3eb
Left kidney,renal column,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,Peritubular Capilary Endothelial ,0.01306641093263006,#VHMLeftKidney,VH_M_renal_column_L,renal column,VH_M_Kidney_L,#57781a
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_0000084,T cell,0.002287227639340315,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#5bd81f
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_0000653,podocyte,0.0001805706031058143,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#8f79ea
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,0.0003611412062116287,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#9a1e86
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,0.0004213314072469,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#bb8ccf
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_0000890,M2 macrophage,0.01113518719152522,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#8de8be
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_0011031,monocyte-derived dendritic cell,0.005417118093174429,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#0802cb
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000412,endothelial cell of arteriole,0.0001805706031058143,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#6ff220
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell,0.0001805706031058143,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#1f20f7
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell,0.006861682918020944,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#055d29
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,0.008607198748043816,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#900797
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,0.05826411460214275,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#3857b0
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000715,kidney cortex collecting duct intercalated cell,6.019020103527144e-05,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#334202
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell,0.002527988443481401,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#16468e
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000717,kidney outer medulla collecting duct intercalated cell,0.007042253521126757,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#8ed5c2
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct principal cell,0.211087035030697,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#fed92f
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,0.07890935355724085,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#a95c21
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell,6.019020103527144e-05,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#3e10e7
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,0.114421572168051,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#d53f07
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,0.001865896232093415,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#3d2252
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,6.019020103527144e-05,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#438196
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1001131,vasa recta ascending limb cell,0.05886601661249548,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#b235b1
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte,0.01101480678945467,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#94c5cd
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell,0.03725773444083302,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#ee08a1
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,0.007463584928373659,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#9a25f5
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_4030014,kidney loop of Henle long descending thin limb inner medulla epithelial cell,0.09726736487299864,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#e619bb
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_4030016,epithelial cell of early distal convoluted tubule,6.019020103527144e-05,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#5db1e0
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_4030018,kidney connecting tubule principal cell,0.0021066570362345,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#c703d7
Left kidney,kidney capsule,http://purl.obolibrary.org/obo/CL_4030022,renal medullary fibroblast,0.2355242566510171,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#eb4436
Left kidney,kidney capsule,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,Descending Vasa Recta Endothelial ,0.04002648368845551,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#588cbd
Left kidney,kidney capsule,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,Peritubular Capilary Endothelial ,0.0004815216082821715,#VHMLeftKidney,VH_M_kidney_capsule_L,kidney capsule,VH_M_Kidney_L,#a2f2e6
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000084,T cell,0.0007872226391818021,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#73fce4
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000097,mast cell,0.0003804007565977227,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#050bcb
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000236,B cell,0.001066363680326526,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#cd6808
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000648,kidney granular cell,9.882521958643156e-05,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#b3ba97
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000650,mesangial cell,0.003900693505515448,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#f55698
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000653,podocyte,0.008311885516141622,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#a31129
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000775,neutrophil,7.587322434406073e-06,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#7331d7
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,0.0003262548646794611,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#cee165
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,0.000135681328068144,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#96f8f5
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,0.0001006096198716869,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#3d1578
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000890,M2 macrophage,0.002360861592097604,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#bb0672
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0000990,conventional dendritic cell,0.003100800727624772,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#a4ab06
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0001058,"plasmacytoid dendritic cell, human",1.379513169892013e-05,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#d9fb4f
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,0.0002978286163006663,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#c07bb3
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0002201,renal beta-intercalated cell,0.007248321212915103,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#d4c07b
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0002573,Schwann cell,0.0002198916402544471,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#f01ba1
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_0011031,monocyte-derived dendritic cell,0.0008108350763542587,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#f519f1
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000412,endothelial cell of arteriole,0.001499673940163995,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#3bbe30
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000452,parietal epithelial cell,0.00570703356822473,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#1b4170
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell,0.0002341551166745456,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#eef335
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,0.03308434220778535,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#58f1af
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,0.02344229974394411,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#ab3407
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000715,kidney cortex collecting duct intercalated cell,0.007483939303306318,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#4f9cd3
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell,0.006514352265508933,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#981fd9
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000717,kidney outer medulla collecting duct intercalated cell,0.005616475081308876,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#bd7337
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct principal cell,0.1429213115034603,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#ea0209
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,0.05649095704992897,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#bc0b71
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell,0.02192275736535074,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#7d1971
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1001005,glomerular capillary endothelial cell,0.004679914278555291,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#4816c2
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,0.06766634909480275,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#2eef42
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,0.03128173752186184,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#da0642
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,0.1876861307066732,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#a9f307
Left kidney,outer cortex of kidney,http://purl.obolibrary.org/obo/CL_1001131,vasa recta ascending limb cell,0.006026378451436202,#VHMLeftKidney,VH_M_outer_cortex_of_kidney_L,outer cortex of kidney,VH_M_Kidney_L,#a65000
